DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/10/18,11:00,   286.41000000,   271.44975000,
01/10/18,12:00,   295.47000000,   271.44975000,
01/10/18,13:00,   298.53000000,   275.86650000,
01/10/18,14:00,   293.42000000,   279.56662500,
01/10/18,15:00,   295.17000000,   278.92556250,
01/10/18,16:00,   294.74000000,   279.45815625,
01/10/18,17:00,   299.41000000,   279.51482813,
01/10/18,18:00,   292.40000000,   281.81978906,
01/10/18,19:00,   285.10000000,   279.55489453,
01/10/18,20:00,   282.18000000,   274.86369727,
01/10/18,21:00,   275.60000000,   271.09459863,
01/10/18,22:00,   278.23000000,   266.00229932,
01/10/18,23:00,   275.75000000,   264.73827466,
01/11/18,00:00,   272.97000000,   262.89726233,
01/11/18,01:00,   273.41000000,   260.62150616,
01/11/18,02:00,   266.84000000,   259.69812808,
01/11/18,03:00,   271.95000000,   256.03356404,
01/11/18,04:00,   268.30000000,   256.69240702,
01/11/18,05:00,   266.99000000,   255.24245351,
01/11/18,06:00,   270.05000000,   253.87885176,
01/11/18,07:00,   260.41000000,   254.68880088,
01/11/18,08:00,   263.62000000,   250.39427544,
01/11/18,09:00,   272.83000000,   249.81188772,
01/11/18,10:00,   264.79000000,   254.01056886,
01/11/18,11:00,   262.75000000,   252.19040943,
01/11/18,12:00,   269.46000000,   250.28582971,
01/11/18,13:00,   211.77000000,   252.60466486,
01/11/18,14:00,   268.44000000,   225.64020743,
01/11/18,15:00,   268.74000000,   239.78460371,
01/11/18,16:00,   268.15000000,   247.00305186,
01/11/18,17:00,   267.72000000,   250.32465093,
01/11/18,18:00,   271.95000000,   251.77582546,
01/11/18,19:00,   277.21000000,   254.56353773,
01/11/18,20:00,   271.22000000,   258.52164387,
01/11/18,21:00,   275.31000000,   257.58057193,
01/11/18,22:00,   214.26000000,   259.10391097,
01/11/18,23:00,   211.34000000,   230.10370548,
01/12/18,00:00,   212.36000000,   214.18010274,
01/12/18,01:00,     3.21000000,   206.71555137,
01/12/18,02:00,     0.00000000,   103.35777569,
01/12/18,03:00,     2.63000000,    51.67888784,
01/12/18,04:00,     3.36000000,    25.83944392,
01/12/18,05:00,     0.00000000,    12.91972196,
01/12/18,06:00,     0.00000000,     6.45986098,
01/12/18,07:00,     3.51000000,     3.22993049,
01/12/18,08:00,   272.83000000,     1.61496525,
01/12/18,09:00,   271.51000000,   129.91210762,
01/12/18,10:00,   274.58000000,   193.41717881,
01/12/18,11:00,   275.89000000,   226.66633941,
01/12/18,12:00,   272.83000000,   243.92954470,
01/12/18,13:00,   274.44000000,   251.06939735,
01/12/18,14:00,   275.89000000,   255.42419868,
01/12/18,15:00,   268.59000000,   258.30847434,
01/12/18,16:00,   272.97000000,   256.19186217,
01/12/18,17:00,   272.39000000,   257.26880608,
01/12/18,18:00,   297.66000000,   257.52452804,
01/12/18,19:00,   298.82000000,   269.97151402,
01/12/18,20:00,   292.98000000,   276.76050701,
01/12/18,21:00,   291.37000000,   277.30800351,
01/12/18,22:00,   293.86000000,   276.79687675,
01/12/18,23:00,   286.26000000,   277.75518838,
01/13/18,00:00,     0.15000000,   274.52934419,
01/13/18,01:00,     1.75000000,   137.26467209,
01/13/18,02:00,     1.31000000,    68.63233605,
01/13/18,03:00,     2.63000000,    34.31616802,
01/13/18,04:00,     1.46000000,    17.15808401,
01/13/18,05:00,     3.50000000,     8.57904201,
01/13/18,06:00,     0.15000000,     4.28952100,
01/13/18,07:00,     3.65000000,     2.14476050,
01/13/18,08:00,   299.26000000,     1.07238025,
01/13/18,09:00,   302.33000000,   142.52544013,
01/13/18,10:00,   298.53000000,   214.74859506,
01/13/18,11:00,   297.51000000,   249.00767253,
01/13/18,12:00,     0.00000000,   265.63996127,
01/13/18,13:00,     0.58000000,   132.81998063,
01/13/18,14:00,   315.18000000,    66.40999032,
01/13/18,15:00,   314.16000000,   182.95524516,
01/13/18,16:00,   307.73000000,   240.73062258,
01/13/18,17:00,   317.23000000,   266.48368629,
01/13/18,18:00,   309.48000000,   283.99146814,
01/13/18,19:00,   307.88000000,   288.96723407,
01/13/18,20:00,   313.14000000,   290.67511704,
01/13/18,21:00,   308.75000000,   294.09330852,
01/13/18,22:00,   311.24000000,   293.66227926,
01/13/18,23:00,   303.49000000,   294.66063963,
01/14/18,00:00,   307.15000000,   291.38169481,
01/14/18,01:00,     3.65000000,   291.52647241,
01/14/18,02:00,     0.15000000,   145.76323620,
01/14/18,03:00,     0.29000000,    72.88161810,
01/14/18,04:00,     0.44000000,    36.44080905,
01/14/18,05:00,     0.00000000,    18.22040453,
01/14/18,06:00,     0.00000000,     9.11020226,
01/14/18,07:00,     1.46000000,     4.55510113,
01/14/18,08:00,   273.26000000,     2.27755057,
01/14/18,09:00,   281.74000000,   130.45302528,
01/14/18,10:00,   272.83000000,   198.67476264,
01/14/18,11:00,     0.00000000,   228.44200632,
01/14/18,12:00,   274.14000000,   114.22100316,
01/14/18,13:00,   267.42000000,   186.85375158,
01/14/18,14:00,   216.30000000,   219.89412579,
01/14/18,15:00,   210.90000000,   211.49331290,
01/14/18,16:00,   197.76000000,   204.66040645,
01/14/18,17:00,   223.75000000,   194.83820322,
01/14/18,18:00,   214.84000000,   202.59722661,
01/14/18,19:00,   212.36000000,   202.13311331,
01/14/18,20:00,   216.30000000,   200.69205665,
01/14/18,21:00,   211.92000000,   201.89227833,
01/14/18,22:00,   217.04000000,   200.35713916,
01/14/18,23:00,   214.84000000,   202.08556958,
01/15/18,00:00,   220.83000000,   201.87728479,
01/15/18,01:00,   203.60000000,   204.69326740,
