DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/10/18,11:00,   271.44975000,829984.84000000,   213.80100000,  1776.08000000,
01/10/18,12:00,   271.44975000,829984.22340993,   213.80098833,     0.00001760,
01/10/18,13:00,   275.86650000,829984.49706820,   213.80099351,     0.00001760,
01/10/18,14:00,   279.56662500,829984.60263480,   213.80099551,   344.30001760,
01/10/18,15:00,   278.92556250,829984.47674607,   213.80099313,   465.97001760,
01/10/18,16:00,   279.45815625,829984.52295302,   213.80099400,     0.00001760,
01/10/18,17:00,   279.51482813,829984.71093940,   213.80099756,   183.00001760,
01/10/18,18:00,   281.81978906,829984.81010689,   213.80099943,   180.00001760,
01/10/18,19:00,   279.55489453,829984.90979408,   213.80100132,   182.00001760,
01/10/18,20:00,   274.86369727,829985.00450353,   213.80100311,   183.00001760,
01/10/18,21:00,   271.09459863,829985.07948264,   213.80100453,   213.00001760,
01/10/18,22:00,   266.00229932,829985.15203103,   213.80100591,   179.00001760,
01/10/18,23:00,   264.73827466,829985.21898111,   213.80100717,   217.84001760,
01/11/18,00:00,   262.89726233,829985.26587900,   213.80100806,   216.00001760,
01/11/18,01:00,   260.62150616,829985.31063842,   213.80100891,   218.00001760,
01/11/18,02:00,   259.69812808,829985.37229833,   213.80101007,   179.00001760,
01/11/18,03:00,   256.03356404,829985.45016436,   213.80101155,   181.00001760,
01/11/18,04:00,   256.69240702,829985.50637745,   213.80101261,   219.30001760,
01/11/18,05:00,   255.24245351,829985.56169490,   213.80101366,   182.00001760,
01/11/18,06:00,   253.87885176,829985.61644072,   213.80101469,   217.63001760,
01/11/18,07:00,   254.68880088,829985.67040934,   213.80101572,   183.00001760,
01/11/18,08:00,   250.39427544,829985.74095100,   213.80101705,   181.00001760,
01/11/18,09:00,   249.81188772,829985.72005423,   213.80101666,   361.00001760,
01/11/18,10:00,   254.01056886,829985.61246547,   213.80101462,   358.00001760,
01/11/18,11:00,   252.19040943,829985.33927111,   213.80100945,   694.59001760,
01/11/18,12:00,   250.28582971,829985.16921433,   213.80100623,   148.00001760,
01/11/18,13:00,   252.60466486,829985.19965977,   213.80100681,   294.00001760,
01/11/18,14:00,   225.64020743,829985.07478212,   213.80100444,   434.00001760,
01/11/18,15:00,   239.78460371,829984.86681436,   213.80100051,   447.36001760,
01/11/18,16:00,   247.00305186,829984.79402822,   213.80099913,   185.00001760,
01/11/18,17:00,   250.32465093,829984.86019210,   213.80100038,   180.00001760,
01/11/18,18:00,   251.77582546,829984.93174228,   213.80100174,   179.00001760,
01/11/18,19:00,   254.56353773,829985.00337700,   213.80100309,   184.07001760,
01/11/18,20:00,   258.52164387,829985.07688455,   213.80100448,   182.00001760,
01/11/18,21:00,   257.58057193,829985.15493554,   213.80100596,   178.00001760,
01/11/18,22:00,   259.10391097,829985.23377789,   213.80100745,   181.00001760,
01/11/18,23:00,   230.10370548,829985.29788183,   213.80100867,   180.00001760,
01/12/18,00:00,   214.18010274,829985.34002384,   213.80100946,   180.00001760,
01/12/18,01:00,   206.71555137,829985.36897153,   213.80101001,   183.00001760,
01/12/18,02:00,   103.35777569,829985.34300817,   213.80100952,   179.00001760,
01/12/18,03:00,    51.67888784,829985.24152669,   213.80100760,   179.00001760,
01/12/18,04:00,    25.83944392,829985.10128578,   213.80100494,   179.00001760,
01/12/18,05:00,    12.91972196,829984.94116520,   213.80100191,   180.00001760,
01/12/18,06:00,     6.45986098,829984.76885494,   213.80099865,   184.00001760,
01/12/18,07:00,     3.22993049,829984.59069961,   213.80099528,   182.00001760,
01/12/18,08:00,     1.61496525,829984.42339715,   213.80099212,   157.45001760,
01/12/18,09:00,   129.91210762,829984.31482562,   213.80099006,   191.22001760,
01/12/18,10:00,   193.41717881,829984.29038018,   213.80098960,   181.00001760,
01/12/18,11:00,   226.66633941,829984.31792196,   213.80099012,   184.00001760,
01/12/18,12:00,   243.92954470,829984.37021989,   213.80099111,   182.00001760,
01/12/18,13:00,   251.06939735,829984.43471950,   213.80099233,   184.00001760,
01/12/18,14:00,   255.42419868,829984.50446638,   213.80099365,   183.00001760,
01/12/18,15:00,   258.30847434,829984.57883266,   213.80099506,   182.00001760,
01/12/18,16:00,   256.19186217,829984.63408274,   213.80099610,   222.00001760,
01/12/18,17:00,   257.26880608,829984.68251785,   213.80099702,   194.59001760,
