DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/15/18,13:00,   276.19000000,   243.65430000,
01/15/18,14:00,   280.13000000,   243.94828462,
01/15/18,15:00,   281.74000000,   246.23937870,
01/15/18,16:00,   282.76000000,   248.03759181,
01/15/18,17:00,   276.33000000,   248.78218916,
01/15/18,18:00,   280.86000000,   246.04814198,
01/15/18,19:00,   273.85000000,   246.83958538,
01/15/18,20:00,   275.89000000,   243.63482515,
01/15/18,21:00,   285.68000000,   244.19821736,
01/15/18,22:00,   273.27000000,   248.60232206,
01/15/18,23:00,   268.01000000,   243.42189310,
01/16/18,00:00,   279.83000000,   239.56403581,
01/16/18,01:00,   281.74000000,   244.39643685,
01/16/18,02:00,     3.65000000,   228.09590648,
01/16/18,03:00,     1.02000000,    87.72919480,
01/16/18,04:00,     1.31000000,    33.74199800,
01/16/18,05:00,     0.00000000,    12.97769154,
01/16/18,06:00,     0.00000000,     4.99141982,
01/16/18,07:00,     3.21000000,     1.91977685,
01/16/18,08:00,   284.95000000,    20.13464494,
01/16/18,09:00,   293.71000000,   163.56787882,
01/16/18,10:00,   291.23000000,   223.12487647,
01/16/18,11:00,   289.19000000,   244.58387557,
01/16/18,12:00,   287.29000000,   251.63005983,
01/16/18,13:00,   293.56000000,   253.81558455,
01/16/18,14:00,   307.73000000,   258.98834021,
01/16/18,15:00,   309.93000000,   268.54311547,
01/16/18,16:00,   306.42000000,   273.10520595,
01/16/18,17:00,   315.62000000,   273.71301767,
01/16/18,18:00,   306.57000000,   278.07675295,
01/16/18,19:00,   316.20000000,   275.74677421,
01/16/18,20:00,   300.14000000,   278.68212854,
01/16/18,21:00,   302.62000000,   271.60789559,
01/16/18,22:00,   299.26000000,   269.93165215,
01/16/18,23:00,   299.55000000,   267.55362775,
01/17/18,00:00,   300.14000000,   266.83449529,
01/17/18,01:00,   301.01000000,   266.93098280,
01/17/18,02:00,     2.77000000,   246.82790877,
01/17/18,03:00,     1.46000000,    94.93381107,
01/17/18,04:00,     3.65000000,    36.51300426,
01/17/18,05:00,     3.51000000,    14.04346318,
01/17/18,06:00,     2.63000000,     5.40133199,
01/17/18,07:00,   293.42000000,    22.10569692,
01/17/18,08:00,   293.42000000,   168.72828343,
01/17/18,09:00,   289.04000000,   224.79477055,
01/17/18,10:00,   285.68000000,   243.82038867,
01/17/18,11:00,   293.86000000,   249.99333411,
01/17/18,12:00,   286.85000000,   256.11696696,
01/17/18,13:00,   295.17000000,   255.43163345,
01/17/18,14:00,   285.53000000,   258.79435133,
01/17/18,15:00,   294.74000000,   255.73986589,
01/17/18,16:00,   300.14000000,   259.77844073,
01/17/18,17:00,   284.51000000,   262.98596182,
01/17/18,18:00,   286.12000000,   256.17608531,
01/17/18,19:00,   282.61000000,   254.13591743,
01/17/18,20:00,   291.08000000,   252.14992978,
01/17/18,21:00,   293.85000000,   256.01671915,
01/17/18,22:00,   285.97000000,   258.36276890,
01/17/18,23:00,   281.15000000,   254.78966496,
01/18/18,00:00,   291.52000000,   251.67163268,
01/18/18,01:00,   271.95000000,   254.42849718,
01/18/18,02:00,     0.44000000,   226.84099892,
01/18/18,03:00,     3.66000000,    87.24653804,
01/18/18,04:00,     0.00000000,    33.55636079,
01/18/18,05:00,     0.29000000,    12.90629261,
01/18/18,06:00,     1.02000000,     4.96395870,
01/18/18,07:00,     1.02000000,     1.90921488,
01/18/18,08:00,   276.63000000,    19.50978265,
01/18/18,09:00,   284.07000000,   158.26265486,
01/18/18,10:00,   294.30000000,   216.27842879,
01/18/18,11:00,   289.62000000,   243.58619569,
01/18/18,12:00,   294.00000000,   251.97159834,
01/18/18,13:00,   288.16000000,   257.04870705,
01/18/18,14:00,   291.37000000,   256.19067964,
01/18/18,15:00,   294.59000000,   257.77753832,
01/18/18,16:00,   294.15000000,   260.03686859,
01/18/18,17:00,   293.42000000,   260.62155715,
01/18/18,18:00,   268.45000000,   258.60200660,
01/18/18,19:00,   271.95000000,   245.04438715,
01/18/18,20:00,   273.85000000,   241.79976429,
01/18/18,21:00,   268.59000000,   241.15174011,
01/18/18,22:00,   267.28000000,   238.05741543,
01/18/18,23:00,   281.16000000,   237.21872901,
01/19/18,00:00,   285.38000000,   244.46066500,
01/19/18,01:00,   279.69000000,   249.02560192,
01/19/18,02:00,   272.24000000,   247.25353151,
01/19/18,03:00,     1.02000000,   224.23286597,
01/19/18,04:00,     2.34000000,    86.24340999,
01/19/18,05:00,     3.80000000,    33.17054230,
01/19/18,06:00,     0.00000000,    12.75790089,
01/19/18,07:00,     0.00000000,     4.90688496,
01/19/18,08:00,     2.19000000,     1.88726344,
