DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/15/18,13:00,   243.65430000,824965.04000000,   213.70600000,   183.00000000,
01/15/18,14:00,   243.94828462,825189.32462095,   213.71024460,   180.00001742,
01/15/18,15:00,   246.23937870,825423.66235227,   213.71467945,   180.00001743,
01/15/18,16:00,   248.03759181,825659.96083631,   213.71915142,   183.00001744,
01/15/18,17:00,   248.78218916,825890.03637914,   213.72350561,   186.00001745,
01/15/18,18:00,   246.04814198,825677.33091244,   213.71948015,   427.00001744,
01/15/18,19:00,   246.83958538,825277.52875885,   213.71191387,   288.00001742,
01/15/18,20:00,   243.63482515,825319.78263515,   213.71271352,   179.00001743,
01/15/18,21:00,   244.19821736,825549.88204879,   213.71706817,   181.00001743,
01/15/18,22:00,   248.60232206,825781.72295679,   213.72145577,   183.00001744,
01/15/18,23:00,   243.42189310,826010.36648110,   213.72578286,   182.00001745,
01/16/18,00:00,   239.56403581,826159.74109024,   213.72860979,   218.00001746,
01/16/18,01:00,   244.39643685,826312.66987823,   213.73150397,   181.00001746,
01/16/18,02:00,   228.09590648,826509.75603332,   213.73523384,   182.00001747,
01/16/18,03:00,    87.72919480,826426.64115271,   213.73366088,   180.00001747,
01/16/18,04:00,    33.74199800,825995.48923673,   213.72550131,   181.00001745,
01/16/18,05:00,    12.97769154,825427.98461493,   213.71476125,   181.00001743,
01/16/18,06:00,     4.99141982,824814.12895265,   213.70314400,   178.00001741,
01/16/18,07:00,     1.91977685,824182.16904407,   213.69118412,   180.00001738,
01/16/18,08:00,    20.13464494,823503.66694083,   213.67834343,   219.00001736,
01/16/18,09:00,   163.56787882,823108.93142128,   213.67087304,   184.00001734,
01/16/18,10:00,   223.12487647,823142.57831845,   213.67150981,   184.00001734,
01/16/18,11:00,   244.58387557,823322.05400968,   213.67490640,   184.00001735,
01/16/18,12:00,   251.63005983,823552.83903113,   213.67927402,   184.00001736,
01/16/18,13:00,   253.81558455,823803.84112835,   213.68402425,   182.00001737,
01/16/18,14:00,   258.98834021,824066.28813033,   213.68899107,   185.00001738,
01/16/18,15:00,   268.54311547,824353.44468804,   213.69442552,   183.00001739,
01/16/18,16:00,   273.10520595,824671.41160388,   213.70044307,   182.00001740,
01/16/18,17:00,   273.71301767,824996.88434391,   213.70660266,   184.00001741,
01/16/18,18:00,   278.07675295,825383.50586834,   213.71391949,   153.00001743,
01/16/18,19:00,   275.74677421,825779.18815446,   213.72140780,   181.00001744,
