DAY,TIME,PRECIP(mm),LOSS(mm),EXCESS(mm),DIRECT FLOW(m3/s),BASE FLOW(m3/s),TOTAL FLOW(m3/s),
01/15/18,13:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,14:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,15:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,16:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,17:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,18:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,19:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,20:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,21:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,22:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/15/18,23:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,00:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,01:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,02:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,03:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,04:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,05:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,06:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,07:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,08:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,09:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,10:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,11:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,12:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,13:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,14:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,15:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,16:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,17:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,18:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,19:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,20:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,21:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,22:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/16/18,23:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/17/18,00:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
01/17/18,01:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
