DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/11/18,12:00,   262.75000000,   231.91927414,
01/11/18,13:00,   262.75000000,   231.11818236,
01/11/18,14:00,   262.75000000,   230.81007014,
01/11/18,15:00,   262.75000000,   230.69156544,
01/11/18,16:00,   262.75000000,   230.64598671,
01/11/18,17:00,   262.75000000,   230.62845643,
01/11/18,18:00,   262.75000000,   230.62171401,
01/11/18,19:00,   262.75000000,   230.61912077,
01/11/18,20:00,   262.75000000,   230.61812337,
01/11/18,21:00,   262.75000000,   230.61773976,
01/11/18,22:00,   262.75000000,   230.61759222,
01/11/18,23:00,   262.75000000,   230.61753547,
01/12/18,00:00,   262.75000000,   230.61751364,
01/12/18,01:00,   262.75000000,   230.61750525,
01/12/18,02:00,   262.75000000,   230.61750202,
01/12/18,03:00,   262.75000000,   230.61750078,
01/12/18,04:00,   262.75000000,   230.61750030,
01/12/18,05:00,   262.75000000,   230.61750011,
01/12/18,06:00,   262.75000000,   230.61750004,
01/12/18,07:00,   262.75000000,   230.61750002,
01/12/18,08:00,   262.75000000,   230.61750001,
01/12/18,09:00,   262.75000000,   230.61750000,
01/12/18,10:00,   262.75000000,   230.61750000,
01/12/18,11:00,   262.75000000,   230.61750000,
01/12/18,12:00,   262.75000000,   230.61750000,
01/12/18,13:00,   262.75000000,   230.61750000,
01/12/18,14:00,   262.75000000,   230.61750000,
01/12/18,15:00,   262.75000000,   230.61750000,
01/12/18,16:00,   262.75000000,   230.61750000,
01/12/18,17:00,   262.75000000,   230.61750000,
01/12/18,18:00,   262.75000000,   230.61750000,
01/12/18,19:00,   262.75000000,   230.61750000,
01/12/18,20:00,   262.75000000,   230.61750000,
01/12/18,21:00,   262.75000000,   230.61750000,
01/12/18,22:00,   262.75000000,   230.61750000,
01/12/18,23:00,   262.75000000,   230.61750000,
01/13/18,00:00,   262.75000000,   230.61750000,
01/13/18,01:00,   262.75000000,   230.61750000,
01/13/18,02:00,   262.75000000,   230.61750000,
01/13/18,03:00,   262.75000000,   230.61750000,
01/13/18,04:00,   262.75000000,   230.61750000,
01/13/18,05:00,   262.75000000,   230.61750000,
01/13/18,06:00,   262.75000000,   230.61750000,
01/13/18,07:00,   262.75000000,   230.61750000,
01/13/18,08:00,   262.75000000,   230.61750000,
01/13/18,09:00,   262.75000000,   230.61750000,
01/13/18,10:00,   262.75000000,   230.61750000,
01/13/18,11:00,   262.75000000,   230.61750000,
