DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/11/18,12:00,   231.91927414,832656.16841359,   213.85155504,   146.00001771,
01/11/18,13:00,   231.11818236,832694.03577156,   213.85227168,   296.00001770,
01/11/18,14:00,   230.81007014,832207.90656233,   213.84307166,   436.00001770,
01/11/18,15:00,   230.69156544,831922.60944267,   213.83767240,   184.00001769,
01/11/18,16:00,   230.64598671,832022.21697288,   213.83955747,   222.00001768,
01/11/18,17:00,   230.62845643,832125.31090688,   213.84150853,   182.00001768,
01/11/18,18:00,   230.62171401,832303.96115002,   213.84488950,   180.00001768,
01/11/18,19:00,   230.61912077,832480.79458895,   213.84823608,   183.00001769,
01/11/18,20:00,   230.61812337,832981.62156472,   213.85771426,     0.00001770,
01/11/18,21:00,   230.61773976,833484.24605462,   213.86722646,   182.00001772,
01/11/18,22:00,   230.61759222,833666.46958837,   213.87067505,   178.00001773,
01/11/18,23:00,   230.61753547,833854.09275434,   213.87422583,   179.00001774,
01/12/18,00:00,   230.61751364,834032.71577885,   213.87760628,   183.00001775,
01/12/18,01:00,   230.61750525,834202.33874894,   213.88081640,   184.00001776,
01/12/18,02:00,   230.61750202,834380.96169809,   213.88419685,   178.00001776,
01/12/18,03:00,   230.61750078,834566.78463917,   213.88771356,   180.00001777,
01/12/18,04:00,   230.61750030,834745.40757712,   213.89109401,   182.00001778,
01/12/18,05:00,   230.61750011,834924.03051386,   213.89447446,   180.00001778,
01/12/18,06:00,   230.61750004,835104.45345012,   213.89788898,   181.00001779,
01/12/18,07:00,   230.61750002,835274.07638618,   213.90109910,   186.00001780,
01/12/18,08:00,   230.61750001,835503.09932214,   213.90543337,   148.00001780,
01/12/18,09:00,   230.61750000,835737.52225806,   213.90986984,   183.00001781,
01/12/18,10:00,   230.61750000,835910.74519393,   213.91314809,   182.00001782,
01/12/18,11:00,   230.61750000,836094.76812977,   213.91663074,   177.00001783,
01/12/18,12:00,   230.61750000,836275.19106558,   213.92004525,   184.00001783,
01/12/18,13:00,   230.61750000,836444.81400137,   213.92325537,   183.00001784,
01/12/18,14:00,   230.61750000,836616.23693713,   213.92649956,   183.00001785,
01/12/18,15:00,   230.61750000,836791.25987287,   213.92981188,   181.00001785,
01/12/18,16:00,   230.61750000,836892.48280859,   213.93172753,   224.00001786,
01/12/18,17:00,   230.61750000,836991.90574429,   213.93360912,   182.00001786,
01/12/18,18:00,   230.61750000,837168.72867997,   213.93695550,   181.00001787,
01/12/18,19:00,   230.61750000,837341.95161564,   213.94023376,   184.00001787,
01/12/18,20:00,   230.61750000,837522.37455128,   213.94364827,   177.00001788,
01/12/18,21:00,   230.61750000,837708.19748690,   213.94716498,   181.00001789,
01/12/18,22:00,   230.61750000,837890.42042249,   213.95061356,   179.00001789,
01/12/18,23:00,   230.61750000,838074.44335806,   213.95409620,   180.00001790,
01/13/18,00:00,   230.61750000,838262.06629360,   213.95764698,   177.00001791,
01/13/18,01:00,   230.61750000,838449.68922912,   213.96119775,   180.00001792,
01/13/18,02:00,   230.61750000,838682.31216461,   213.96560015,   152.00001792,
01/13/18,03:00,   230.61750000,838844.73510008,   213.96867402,   219.00001793,
01/13/18,04:00,   230.61750000,838886.55803551,   213.96946552,   219.00001794,
01/13/18,05:00,   230.61750000,838994.98097094,   213.97151743,   182.00001794,
01/13/18,06:00,   230.61750000,839170.00390635,   213.97482975,   182.00001794,
01/13/18,07:00,   230.61750000,839348.62684174,   213.97821020,   180.00001795,
01/13/18,08:00,   230.61750000,839525.44977711,   213.98155658,   183.00001796,
01/13/18,09:00,   230.61750000,839696.87271246,   213.98480077,   183.00001796,
01/13/18,10:00,   230.61750000,839875.49564778,   213.98818122,   179.00001797,
01/13/18,11:00,   230.61750000,840059.51858307,   213.99166386,   180.00001798,
