DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
01/10/18,11:00,   286.41000000,   253.56770000,
01/10/18,12:00,   295.47000000,   254.24371538,
01/10/18,13:00,   298.53000000,   259.46415207,
01/10/18,14:00,   293.42000000,   262.68898926,
01/10/18,15:00,   295.17000000,   261.39089587,
01/10/18,16:00,   294.74000000,   261.77358303,
01/10/18,17:00,   299.41000000,   262.04463193,
01/10/18,18:00,   292.40000000,   264.06500459,
01/10/18,19:00,   285.10000000,   260.63600177,
01/10/18,20:00,   282.18000000,   255.28643145,
01/10/18,21:00,   275.60000000,   251.21279671,
01/10/18,22:00,   278.23000000,   246.40546797,
01/10/18,23:00,   275.75000000,   245.74511845,
01/11/18,00:00,   272.97000000,   243.98838402,
01/11/18,01:00,   273.41000000,   241.89353231,
01/11/18,02:00,   266.84000000,   240.82741243,
01/11/18,03:00,   271.95000000,   237.36708940,
01/11/18,04:00,   268.30000000,   238.43284208,
01/11/18,05:00,   266.99000000,   236.83857772,
01/11/18,06:00,   270.05000000,   235.76949912,
01/11/18,07:00,   260.41000000,   236.23728428,
01/11/18,08:00,   263.62000000,   231.62167088,
01/11/18,09:00,   272.83000000,   232.21025034,
01/11/18,10:00,   264.79000000,   236.64717321,
01/11/18,11:00,   262.75000000,   234.00211277,
