DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/10/18,11:00,   253.56770000,829984.84000000,   213.80100000,   185.00000000,
01/10/18,12:00,   289.56565095,830301.88000000,   213.80700000,   182.00001761,
01/10/18,13:00,   306.27882874,830724.60000000,   213.81500000,   179.00001763,
01/10/18,14:00,   112.43231763,830830.28000000,   213.81700000,   181.00001763,
01/10/18,15:00,   484.41216209,831253.00000000,   213.82500000,   181.00001765,
01/10/18,16:00,   -35.34546012,831411.52000000,   213.82800000,   180.00001766,
01/10/18,17:00,   631.18993989,831834.24000000,   213.83600000,   181.00001767,
01/10/18,18:00,  -119.41212676,832098.44000000,   213.84100000,   184.00001768,
01/10/18,19:00,   718.25660659,832521.16000000,   213.84900000,   180.00001770,
01/10/18,20:00,    50.72120662,833260.92000000,   213.86300000,   178.00001773,
01/10/18,21:00,   252.21216216,833102.40000000,   213.86000000,   213.00001772,
01/10/18,22:00,   281.56565106,833366.60000000,   213.86500000,   174.00001773,
01/10/18,23:00,   108.43438440,833366.60000000,   213.86500000,   216.00001773,
01/11/18,00:00,   386.27676218,833472.28000000,   213.86700000,   220.00001773,
01/11/18,01:00,   -64.69894894,833260.92000000,   213.86300000,   219.00001773,
01/11/18,02:00,   584.12120662,833472.28000000,   213.86700000,   183.00001773,
01/11/18,03:00,  -301.54339338,833260.92000000,   213.86300000,   217.00001773,
01/11/18,04:00,   822.61009551,833419.44000000,   213.86600000,   216.00001773,
01/11/18,05:00,  -276.83228226,833683.64000000,   213.87100000,   183.00001774,
01/11/18,06:00,   727.89898441,833842.16000000,   213.87400000,   180.00001775,
01/11/18,07:00,  -366.89894892,833842.16000000,   213.87400000,   181.00001775,
01/11/18,08:00,   757.12120663,833577.96000000,   213.86900000,   356.00001774,
01/11/18,09:00,  -136.18783782,833419.44000000,   213.86600000,   353.00001773,
01/11/18,10:00,   645.69898438,833049.56000000,   213.85900000,   362.00001772,
01/11/18,11:00,  -180.89894897,832574.00000000,   213.85000000,   367.00001770,
