DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
01/11/18,12:00,   231.91927414,831742.43652160,   213.83426261,   146.00001770,
01/11/18,13:00,   231.11818236,831780.30387964,   213.83497926,   296.00001767,
01/11/18,14:00,   230.81007014,831294.17467054,   213.82577923,   436.00001767,
01/11/18,15:00,   230.69156544,831008.87755100,   213.82037997,   184.00001765,
01/11/18,16:00,   230.64598671,831108.48508134,   213.82226505,   222.00001764,
01/11/18,17:00,   230.62845643,831211.57901546,   213.82421611,   182.00001764,
01/11/18,18:00,   230.62171401,831390.22925872,   213.82759707,   180.00001765,
01/11/18,19:00,   230.61912077,831567.06269778,   213.83094365,   183.00001766,
01/11/18,20:00,   230.61812337,832067.88967368,   213.84042183,     0.00001766,
01/11/18,21:00,   230.61773976,832570.51416370,   213.84993403,   182.00001768,
01/11/18,22:00,   230.61759222,832752.73769757,   213.85338262,   178.00001770,
01/11/18,23:00,   230.61753547,832940.36086366,   213.85693340,   179.00001771,
01/12/18,00:00,   230.61751364,833118.98388830,   213.86031385,   183.00001771,
01/12/18,01:00,   230.61750525,833288.60685852,   213.86352398,   184.00001772,
01/12/18,02:00,   230.61750202,833467.22980779,   213.86690442,   178.00001773,
01/12/18,03:00,   230.61750078,833653.05274899,   213.87042113,   180.00001773,
01/12/18,04:00,   230.61750030,833831.67568707,   213.87380158,   182.00001774,
01/12/18,05:00,   230.61750011,834010.29862393,   213.87718203,   180.00001775,
01/12/18,06:00,   230.61750004,834190.72156032,   213.88059655,   181.00001775,
01/12/18,07:00,   230.61750002,834360.34449650,   213.88380667,   186.00001776,
01/12/18,08:00,   230.61750001,834589.36743259,   213.88814094,   148.00001777,
01/12/18,09:00,   230.61750000,834823.79036863,   213.89257741,   183.00001778,
01/12/18,10:00,   230.61750000,834997.01330462,   213.89585566,   182.00001779,
01/12/18,11:00,   230.61750000,835181.03624059,   213.89933831,   177.00001779,
01/12/18,12:00,   230.61750000,835361.45917652,   213.90275282,   184.00001780,
01/12/18,13:00,   230.61750000,835531.08211244,   213.90596295,   183.00001781,
01/12/18,14:00,   230.61750000,835702.50504833,   213.90920714,   183.00001781,
01/12/18,15:00,   230.61750000,835877.52798419,   213.91251945,   181.00001782,
01/12/18,16:00,   230.61750000,835978.75092003,   213.91443510,   224.00001783,
01/12/18,17:00,   230.61750000,836078.17385586,   213.91631669,   182.00001783,
01/12/18,18:00,   230.61750000,836254.99679167,   213.91966307,   181.00001783,
01/12/18,19:00,   230.61750000,836428.21972746,   213.92294133,   184.00001784,
01/12/18,20:00,   230.61750000,836608.64266322,   213.92635584,   177.00001785,
01/12/18,21:00,   230.61750000,836794.46559896,   213.92987255,   181.00001785,
01/12/18,22:00,   230.61750000,836976.68853468,   213.93332113,   179.00001786,
01/12/18,23:00,   230.61750000,837160.71147037,   213.93680377,   180.00001787,
01/13/18,00:00,   230.61750000,837348.33440604,   213.94035455,   177.00001787,
01/13/18,01:00,   230.61750000,837535.95734168,   213.94390532,   180.00001788,
01/13/18,02:00,   230.61750000,837768.58027730,   213.94830773,   152.00001789,
01/13/18,03:00,   230.61750000,837931.00321289,   213.95138159,   219.00001790,
01/13/18,04:00,   230.61750000,837972.82614845,   213.95217309,   219.00001790,
01/13/18,05:00,   230.61750000,838081.24908400,   213.95422500,   182.00001790,
01/13/18,06:00,   230.61750000,838256.27201953,   213.95753732,   182.00001791,
01/13/18,07:00,   230.61750000,838434.89495505,   213.96091777,   180.00001792,
01/13/18,08:00,   230.61750000,838611.71789055,   213.96426415,   183.00001792,
01/13/18,09:00,   230.61750000,838783.14082602,   213.96750834,   183.00001793,
01/13/18,10:00,   230.61750000,838961.76376146,   213.97088879,   179.00001794,
01/13/18,11:00,   230.61750000,839145.78669688,   213.97437144,   180.00001794,
