TIME,INFLOW (m3/s),OUTFLOW (m3/s),
    0,     8.91000000,     8.91000000,
    1,     8.91000000,     8.91000000,
    2,     8.91000000,     8.91000000,
    3,     8.91000000,     8.91000000,
    4,     8.91000000,     8.91000000,
    5,     8.91000000,     8.91000000,
    6,     0.00000000,     8.91000000,
    7,     0.00000000,     4.45500000,
    8,     7.92000000,     2.22750000,
    9,    25.74000000,     5.07375000,
   10,     7.92000000,    15.40687500,
   11,     0.00000000,    11.66343750,
   12,     0.00000000,     5.83171875,
   13,     0.00000000,     2.91585938,
   14,     0.00000000,     1.45792969,
   15,     0.00000000,     0.72896484,
   16,     0.00000000,     0.36448242,
   17,     0.00000000,     0.18224121,
   18,   190.08000000,     0.09112061,
   19,   588.06000000,    95.08556030,
   20,   588.06000000,   341.57278015,
   21,   588.06000000,   464.81639008,
   22,     7.92000000,   526.43819504,
   23,     0.00000000,   267.17909752,
   24,     0.00000000,   133.58954876,
   25,     0.00000000,    66.79477438,
   26,     0.00000000,    33.39738719,
   27,     0.00000000,    16.69869359,
   28,     0.00000000,     8.34934680,
   29,     0.00000000,     4.17467340,
   30,     0.00000000,     2.08733670,
   31,    30.69000000,     1.04366835,
   32,    30.69000000,    15.86683417,
   33,    30.69000000,    23.27841709,
   34,     0.99000000,    26.98420854,
   35,     0.00000000,    13.98710427,
   36,     7.92000000,     6.99355214,
   37,    30.69000000,     7.45677607,
   38,     0.00000000,    19.07338803,
   39,   151.47000000,     9.53669402,
   40,   151.47000000,    80.50334701,
   41,   176.22000000,   115.98667350,
   42,   133.65000000,   146.10333675,
   43,   133.65000000,   139.87666838,
   44,    57.42000000,   136.76333419,
   45,    57.42000000,    97.09166709,
   46,     4.95000000,    77.25583355,
   47,     0.00000000,    41.10291677,
   48,     0.00000000,    20.55145839,
   49,     0.00000000,    10.27572919,
   50,     0.00000000,     5.13786460,
   51,     0.00000000,     2.56893230,
   52,     0.00000000,     1.28446615,
   53,     0.00000000,     0.64223307,
   54,     0.00000000,     0.32111654,
   55,     5.94000000,     0.16055827,
   56,     0.00000000,     3.05027913,
   57,     0.00000000,     1.52513957,
   58,     0.00000000,     0.76256978,
   59,   133.65000000,     0.38128489,
   60,   142.56000000,    67.01564245,
   61,     5.94000000,   104.78782122,
   62,     5.94000000,    55.36391061,
   63,     5.94000000,    30.65195531,
   64,     0.00000000,    18.29597765,
   65,     5.94000000,     9.14798883,
   66,     0.00000000,     7.54399441,
   67,   123.75000000,     3.77199721,
   68,   133.65000000,    63.76099860,
   69,   297.00000000,    98.70549930,
   70,   297.00000000,   197.85274965,
   71,   133.65000000,   247.42637483,
   72,   133.65000000,   190.53818741,
   73,   133.65000000,   162.09409371,
   74,     0.00000000,   147.87204685,
   75,     0.00000000,    73.93602343,
   76,     0.00000000,    36.96801171,
   77,     0.00000000,    18.48400586,
   78,     0.00000000,     9.24200293,
   79,   111.87000000,     4.62100146,
   80,     6.93000000,    58.24550073,
   81,     6.93000000,    32.58775037,
   82,    25.74000000,    19.75887518,
   83,    60.39000000,    22.74943759,
   84,    61.38000000,    41.56971880,
   85,    25.74000000,    51.47485940,
   86,    25.74000000,    38.60742970,
   87,   462.33000000,    32.17371485,
   88,   462.33000000,   247.25185742,
   89,   607.86000000,   354.79092871,
   90,   462.33000000,   481.32546436,
   91,   607.86000000,   471.82773218,
   92,   462.33000000,   539.84386609,
   93,   462.33000000,   501.08693304,
   94,   462.33000000,   481.70846652,
   95,   316.80000000,   472.01923326,
   96,   316.80000000,   394.40961663,
   97,   279.18000000,   355.60480832,
   98,   133.65000000,   317.39240416,
   99,   133.65000000,   225.52120208,
  100,    61.38000000,   179.58560104,
  101,    60.39000000,   120.48280052,
  102,     5.94000000,    90.43640026,
  103,     5.94000000,    48.18820013,
  104,     0.00000000,    27.06410006,
  105,    25.74000000,    13.53205003,
  106,   316.80000000,    19.63602502,
  107,   171.27000000,   168.21801251,
  108,   316.80000000,   169.74400625,
  109,    25.74000000,   243.27200313,
  110,    25.74000000,   134.50600156,
  111,     7.92000000,    80.12300078,
  112,     5.94000000,    44.02150039,
  113,     5.94000000,    24.98075020,
  114,   171.27000000,    15.46037510,
  115,   171.27000000,    93.36518755,
  116,   316.80000000,   132.31759377,
  117,   316.80000000,   224.55879689,
  118,   316.80000000,   270.67939844,
  119,   316.80000000,   293.73969922,
  120,     0.00000000,   305.26984961,
  121,     0.00000000,   152.63492481,
  122,     0.00000000,    76.31746240,
  123,     0.00000000,    38.15873120,
  124,     0.00000000,    19.07936560,
  125,     0.00000000,     9.53968280,
  126,    25.74000000,     4.76984140,
  127,     0.00000000,    15.25492070,
  128,    25.74000000,     7.62746035,
  129,   151.47000000,    16.68373018,
  130,   316.80000000,    84.07686509,
  131,   316.80000000,   200.43843254,
  132,    25.74000000,   258.61921627,
  133,    87.12000000,   142.17960814,
  134,   116.82000000,   114.64980407,
  135,   215.82000000,   115.73490203,
  136,   215.82000000,   165.77745102,
  137,   215.82000000,   190.79872551,
  138,   215.82000000,   203.30936275,
  139,   215.82000000,   209.56468138,
  140,   215.82000000,   212.69234069,
  141,   205.92000000,   214.25617034,
  142,   171.27000000,   210.08808517,
  143,    77.22000000,   190.67904259,
  144,    17.82000000,   133.94952129,
  145,    17.82000000,    75.88476065,
  146,    17.82000000,    46.85238032,
  147,    22.77000000,    32.33619016,
  148,    27.72000000,    27.55309508,
  149,    27.72000000,    27.63654754,
  150,    25.74000000,    27.67827377,
  151,     0.00000000,    26.70913689,
  152,     0.00000000,    13.35456844,
  153,   257.40000000,     6.67728422,
