TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,     8.91000000,632310.40000000,   210.06000000,     0.00000000,
    1,     8.91000000,632342.47598186,   210.06060704,     0.00001012,
    2,     8.91000000,632374.55194526,   210.06121408,     0.00001012,
    3,     8.91000000,632406.62790866,   210.06182112,     0.00001012,
    4,     8.91000000,632438.70387206,   210.06242816,     0.00001012,
    5,     8.91000000,632470.77983546,   210.06303520,     0.00001013,
    6,     8.91000000,632502.85579886,   210.06364224,     0.00001013,
    7,     4.45500000,632193.91276240,   210.05779547,   185.00001012,
    8,     2.22750000,631539.94122615,   210.04541902,   185.00001009,
    9,     5.07375000,630887.08343978,   210.03306365,   185.00001007,
   10,    15.40687500,630590.94852858,   210.02745928,     0.00001005,
   11,    11.66343750,630639.67505503,   210.02838144,     0.00001006,
   12,     5.83171875,630671.16629987,   210.02897741,     0.00001006,
   13,     2.91585938,630686.91190448,   210.02927540,     0.00001006,
   14,     1.45792969,630694.78468876,   210.02942439,     0.00001006,
   15,     0.72896484,630698.72106267,   210.02949888,     0.00001006,
   16,     0.36448242,630700.68923159,   210.02953613,     0.00001006,
   17,     0.18224121,630701.67329803,   210.02955476,     0.00001006,
   18,     0.09112061,630702.16531301,   210.02956407,     0.00001006,
   19,    95.08556030,630576.48330241,   210.02718553,   165.00001005,
   20,   341.57278015,630768.46827918,   210.03081885,   165.00001006,
   21,   464.81639008,631625.96874943,   210.04704710,   165.00001009,
   22,   526.43819504,632816.22696642,   210.06957280,   165.00001014,
   23,   267.17909752,633947.73805648,   210.09098672,     0.00001018,
   24,   133.59045284,634669.12321059,   210.10463897,     0.00001021,
   25,    66.79849117,635029.82327315,   210.11146524,     0.00001022,
   26,    33.40651593,635210.19224898,   210.11487873,     0.00001023,
   27,    16.71685062,635300.41427194,   210.11658619,     0.00001023,
   28,     8.38111531,635345.59057375,   210.11744115,     0.00001023,
   29,     4.22408410,635368.27989565,   210.11787055,     0.00001024,
   30,     2.15690094,635379.76563178,   210.11808792,     0.00001024,
   31,     1.13445345,635043.69003283,   210.11172767,   190.00001022,
   32,    15.97884014,634390.49392449,   210.09936590,   190.00001020,
   33,    23.41057659,633777.39483806,   210.08776296,   190.00001018,
   34,    27.13481387,633184.37650424,   210.07654005,   190.00001015,
   35,    14.15410868,632574.69652835,   210.06500183,   190.00001013,
   36,     7.17431871,631929.08766104,   210.05278364,   190.00001011,
