TIME,INFLOW (m3/s),OUTFLOW (m3/s),
    0,    12.00000000,    12.00000000,
    1,    12.00000000,    12.00000000,
    2,    12.00000000,    12.00000000,
    3,    12.00000000,    12.00000000,
    4,    12.00000000,    12.00000000,
    5,    12.00000000,    12.00000000,
    6,     1.00000000,    12.00000000,
    7,     1.00000000,     6.50000000,
    8,    11.00000000,     3.75000000,
    9,    29.00000000,     7.37500000,
   10,    11.00000000,    18.18750000,
   11,     1.00000000,    14.59375000,
   12,     1.00000000,     7.79687500,
   13,     1.00000000,     4.39843750,
   14,     1.00000000,     2.69921875,
   15,     1.00000000,     1.84960938,
   16,     1.00000000,     1.42480469,
   17,     1.00000000,     1.21240234,
   18,   195.00000000,     1.10620117,
   19,   597.00000000,    98.05310059,
   20,   597.00000000,   347.52655029,
   21,   597.00000000,   472.26327515,
   22,    11.00000000,   534.63163757,
   23,     1.00000000,   272.81581879,
   24,     1.00000000,   136.90790939,
   25,     1.00000000,    68.95395470,
   26,     1.00000000,    34.97697735,
   27,     1.00000000,    17.98848867,
   28,     1.00000000,     9.49424434,
   29,     1.00000000,     5.24712217,
   30,     1.00000000,     3.12356108,
   31,    34.00000000,     2.06178054,
   32,    34.00000000,    18.03089027,
   33,    34.00000000,    26.01544514,
   34,     4.00000000,    30.00772257,
   35,     1.00000000,    17.00386128,
   36,    11.00000000,     9.00193064,
   37,    34.00000000,    10.00096532,
   38,     1.00000000,    22.00048266,
   39,   156.00000000,    11.50024133,
   40,   156.00000000,    83.75012067,
   41,   181.00000000,   119.87506033,
   42,   138.00000000,   150.43753017,
   43,   138.00000000,   144.21876508,
   44,    61.00000000,   141.10938254,
   45,    61.00000000,   101.05469127,
   46,     8.00000000,    81.02734564,
   47,     1.00000000,    44.51367282,
   48,     1.00000000,    22.75683641,
   49,     1.00000000,    11.87841820,
   50,     1.00000000,     6.43920910,
   51,     1.00000000,     3.71960455,
   52,     1.00000000,     2.35980228,
   53,     1.00000000,     1.67990114,
   54,     1.00000000,     1.33995057,
   55,     9.00000000,     1.16997528,
   56,     1.00000000,     5.08498764,
   57,     1.00000000,     3.04249382,
   58,     1.00000000,     2.02124691,
   59,   138.00000000,     1.51062346,
   60,   147.00000000,    69.75531173,
   61,     9.00000000,   108.37765586,
   62,     9.00000000,    58.68882793,
   63,     9.00000000,    33.84441397,
   64,     1.00000000,    21.42220698,
   65,     9.00000000,    11.21110349,
   66,     1.00000000,    10.10555175,
   67,   128.00000000,     5.55277587,
   68,   138.00000000,    66.77638794,
   69,   303.00000000,   102.38819397,
   70,   303.00000000,   202.69409698,
   71,   138.00000000,   252.84704849,
   72,   138.00000000,   195.42352425,
   73,   138.00000000,   166.71176212,
   74,     1.00000000,   152.35588106,
   75,     1.00000000,    76.67794053,
   76,     1.00000000,    38.83897027,
   77,     1.00000000,    19.91948513,
   78,     1.00000000,    10.45974257,
   79,   116.00000000,     5.72987128,
   80,    10.00000000,    60.86493564,
   81,    10.00000000,    35.43246782,
   82,    29.00000000,    22.71623391,
   83,    64.00000000,    25.85811696,
   84,    65.00000000,    44.92905848,
   85,    29.00000000,    54.96452924,
   86,    29.00000000,    41.98226462,
   87,   470.00000000,    35.49113231,
   88,   470.00000000,   252.74556615,
   89,   617.00000000,   361.37278308,
   90,   470.00000000,   489.18639154,
   91,   617.00000000,   479.59319577,
   92,   470.00000000,   548.29659788,
   93,   470.00000000,   509.14829894,
   94,   470.00000000,   489.57414947,
   95,   323.00000000,   479.78707474,
   96,   323.00000000,   401.39353737,
   97,   285.00000000,   362.19676868,
   98,   138.00000000,   323.59838434,
   99,   138.00000000,   230.79919217,
  100,    65.00000000,   184.39959609,
  101,    64.00000000,   124.69979804,
  102,     9.00000000,    94.34989902,
  103,     9.00000000,    51.67494951,
  104,     1.00000000,    30.33747476,
  105,    29.00000000,    15.66873738,
  106,   323.00000000,    22.33436869,
  107,   176.00000000,   172.66718434,
  108,   323.00000000,   174.33359217,
  109,    29.00000000,   248.66679609,
  110,    29.00000000,   138.83339804,
  111,    11.00000000,    83.91669902,
  112,     9.00000000,    47.45834951,
  113,     9.00000000,    28.22917476,
  114,   176.00000000,    18.61458738,
  115,   176.00000000,    97.30729369,
  116,   323.00000000,   136.65364684,
  117,   323.00000000,   229.82682342,
  118,   323.00000000,   276.41341171,
  119,   323.00000000,   299.70670586,
  120,     1.00000000,   311.35335293,
  121,     1.00000000,   156.17667646,
  122,     1.00000000,    78.58833823,
  123,     1.00000000,    39.79416912,
  124,     1.00000000,    20.39708456,
  125,     1.00000000,    10.69854228,
  126,    29.00000000,     5.84927114,
  127,     1.00000000,    17.42463557,
  128,    29.00000000,     9.21231778,
  129,   156.00000000,    19.10615889,
  130,   323.00000000,    87.55307945,
  131,   323.00000000,   205.27653972,
  132,    29.00000000,   264.13826986,
  133,    91.00000000,   146.56913493,
  134,   121.00000000,   118.78456747,
  135,   221.00000000,   119.89228373,
  136,   221.00000000,   170.44614187,
  137,   221.00000000,   195.72307093,
  138,   221.00000000,   208.36153547,
  139,   221.00000000,   214.68076773,
  140,   221.00000000,   217.84038387,
  141,   211.00000000,   219.42019193,
  142,   176.00000000,   215.21009597,
  143,    81.00000000,   195.60504798,
  144,    21.00000000,   138.30252399,
  145,    21.00000000,    79.65126200,
  146,    21.00000000,    50.32563100,
  147,    26.00000000,    35.66281550,
  148,    31.00000000,    30.83140775,
  149,    31.00000000,    30.91570387,
  150,    29.00000000,    30.95785194,
  151,     1.00000000,    29.97892597,
  152,     1.00000000,    15.48946298,
  153,   263.00000000,     8.24473149,
  154,   176.00000000,   135.62236575,
  155,   338.00000000,   155.81118287,
  156,   349.00000000,   246.90559144,
  157,   176.00000000,   297.95279572,
  158,   323.00000000,   236.97639786,
  159,   323.00000000,   279.98819893,
