TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,    12.00000000,632310.40000000,   210.06000000,     0.00000000,
    1,    12.00000000,632353.59998198,   210.06081756,     0.00001012,
    2,    12.00000000,632396.79994550,   210.06163512,     0.00001012,
    3,    12.00000000,632439.99990902,   210.06245269,     0.00001012,
    4,    12.00000000,632483.19987254,   210.06327025,     0.00001013,
    5,    12.00000000,632526.39983606,   210.06408781,     0.00001013,
    6,    12.00000000,632569.59979959,   210.06490537,     0.00001013,
    7,     6.50000000,632269.89976311,   210.05923353,   185.00001012,
    8,     3.75000000,631622.34972663,   210.04697861,   185.00001009,
    9,     7.37500000,630976.37469015,   210.03475350,   185.00001007,
   10,    18.18750000,630689.38715410,   210.02932224,     0.00001006,
   11,    14.59375000,630748.39336805,   210.03043894,     0.00001006,
   12,     7.79687500,630788.69645700,   210.03120167,     0.00001006,
   13,     4.39843750,630810.64798346,   210.03161711,     0.00001006,
   14,     2.69921875,630823.42372866,   210.03185889,     0.00001006,
   15,     1.84960938,630831.61158323,   210.03201385,     0.00001006,
   16,     1.42480469,630837.50549250,   210.03212539,     0.00001006,
   17,     1.21240234,630842.25242910,   210.03221522,     0.00001006,
   18,     1.10620117,630846.42587938,   210.03229421,     0.00001006,
   19,    98.05310059,630727.91258650,   210.03005134,   165.00001006,
   20,   347.52655029,630935.95592203,   210.03398857,   165.00001007,
   21,   472.26327515,631817.57757148,   210.05067331,   165.00001010,
   22,   534.63163757,633035.98837790,   210.07373180,   165.00001015,
   23,   272.81581879,634192.39376287,   210.09561684,     0.00001019,
   24,   136.90836144,634929.89725040,   210.10957413,     0.00001022,
   25,    68.95581309,635300.45272778,   210.11658692,     0.00001023,
   26,    34.98154172,635487.53992952,   210.12012755,     0.00001024,
   27,    17.99756718,635582.90228847,   210.12193229,     0.00001024,
   28,     9.51012859,635632.41610378,   210.12286934,     0.00001025,
   29,     5.27182752,635659.02358802,   210.12337289,     0.00001025,
   30,     3.15834321,635674.19785851,   210.12366007,     0.00001025,
   31,     2.10717309,635341.67575091,   210.11736707,   190.00001023,
   32,    18.08689325,634694.02503334,   210.10511024,   190.00001021,
   33,    26.08152489,634089.52814913,   210.09367010,   190.00001019,
