DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
06/01/16,00:00,   147.00000000,   138.88500000,
06/01/16,01:00,   294.00000000,   138.88500000,
06/01/16,02:00,   294.00000000,   211.28250000,
06/01/16,03:00,   294.00000000,   247.48125000,
06/01/16,04:00,   294.00000000,   265.58062500,
06/01/16,05:00,   147.00000000,   274.63031250,
06/01/16,06:00,   165.00000000,   206.75765625,
06/01/16,07:00,     0.00000000,   181.68632812,
06/01/16,08:00,     0.00000000,    90.84316406,
06/01/16,09:00,     0.00000000,    45.42158203,
06/01/16,10:00,    83.00000000,    22.71079102,
06/01/16,11:00,    83.00000000,    49.27789551,
06/01/16,12:00,   165.00000000,    62.56144775,
06/01/16,13:00,   165.00000000,   109.58822388,
06/01/16,14:00,   356.00000000,   133.10161194,
06/01/16,15:00,   356.00000000,   238.92580597,
06/01/16,16:00,   231.00000000,   291.83790298,
06/01/16,17:00,   195.00000000,   256.73145149,
06/01/16,18:00,    48.00000000,   221.44822575,
06/01/16,19:00,    48.00000000,   131.40911287,
06/01/16,20:00,   225.00000000,    86.38955644,
06/01/16,21:00,   372.00000000,   151.05227822,
06/01/16,22:00,   372.00000000,   255.78113911,
06/01/16,23:00,   147.00000000,   308.14556955,
06/02/16,00:00,   294.00000000,   223.51528478,
06/02/16,01:00,   294.00000000,   253.59764239,
06/02/16,02:00,     0.00000000,   268.63882119,
06/02/16,03:00,     0.00000000,   134.31941060,
06/02/16,04:00,     0.00000000,    67.15970530,
06/02/16,05:00,     0.00000000,    33.57985265,
06/02/16,06:00,     0.00000000,    16.78992632,
06/02/16,07:00,   312.00000000,     8.39496316,
06/02/16,08:00,   303.00000000,   154.90248158,
06/02/16,09:00,   228.00000000,   223.72374079,
06/02/16,10:00,    84.00000000,   221.19687040,
06/02/16,11:00,     9.00000000,   149.01343520,
06/02/16,12:00,    83.00000000,    75.98421760,
06/02/16,13:00,    84.00000000,    75.91460880,
06/02/16,14:00,   213.00000000,    76.37230440,
06/02/16,15:00,    66.00000000,   140.13365220,
06/02/16,16:00,    66.00000000,    99.61682610,
06/02/16,17:00,   190.00000000,    79.35841305,
06/02/16,18:00,   294.00000000,   130.29920652,
06/02/16,19:00,   294.00000000,   206.98960326,
06/02/16,20:00,   294.00000000,   245.33480163,
06/02/16,21:00,   312.00000000,   264.50740082,
06/02/16,22:00,   312.00000000,   282.95870041,
06/02/16,23:00,   312.00000000,   292.18435020,
06/03/16,00:00,   147.00000000,   296.79717510,
