DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
06/03/16,01:00,   147.00000000,   196.06250418,
06/03/16,02:00,   147.00000000,   160.87634776,
06/03/16,03:00,   147.00000000,   147.34321068,
06/03/16,04:00,   147.00000000,   142.13815795,
06/03/16,05:00,   147.00000000,   140.13621460,
06/03/16,06:00,   147.00000000,   139.36623638,
06/03/16,07:00,   147.00000000,   139.07009092,
06/03/16,08:00,   147.00000000,   138.95618881,
06/03/16,09:00,   147.00000000,   138.91238031,
06/03/16,10:00,   147.00000000,   138.89553089,
06/03/16,11:00,   147.00000000,   138.88905034,
06/03/16,12:00,   147.00000000,   138.88655782,
06/03/16,13:00,   147.00000000,   138.88559916,
06/03/16,14:00,   147.00000000,   138.88523045,
06/03/16,15:00,   147.00000000,   138.88508863,
06/03/16,16:00,   147.00000000,   138.88503409,
06/03/16,17:00,   147.00000000,   138.88501311,
06/03/16,18:00,   147.00000000,   138.88500504,
06/03/16,19:00,   147.00000000,   138.88500194,
06/03/16,20:00,   147.00000000,   138.88500075,
06/03/16,21:00,   147.00000000,   138.88500029,
06/03/16,22:00,   147.00000000,   138.88500011,
06/03/16,23:00,   147.00000000,   138.88500004,
06/04/16,00:00,   147.00000000,   138.88500002,
06/04/16,01:00,   147.00000000,   138.88500001,
06/04/16,02:00,   147.00000000,   138.88500000,
06/04/16,03:00,   147.00000000,   138.88500000,
06/04/16,04:00,   147.00000000,   138.88500000,
06/04/16,05:00,   147.00000000,   138.88500000,
06/04/16,06:00,   147.00000000,   138.88500000,
06/04/16,07:00,   147.00000000,   138.88500000,
06/04/16,08:00,   147.00000000,   138.88500000,
06/04/16,09:00,   147.00000000,   138.88500000,
06/04/16,10:00,   147.00000000,   138.88500000,
06/04/16,11:00,   147.00000000,   138.88500000,
06/04/16,12:00,   147.00000000,   138.88500000,
06/04/16,13:00,   147.00000000,   138.88500000,
06/04/16,14:00,   147.00000000,   138.88500000,
06/04/16,15:00,   147.00000000,   138.88500000,
06/04/16,16:00,   147.00000000,   138.88500000,
06/04/16,17:00,   147.00000000,   138.88500000,
06/04/16,18:00,   147.00000000,   138.88500000,
06/04/16,19:00,   147.00000000,   138.88500000,
06/04/16,20:00,   147.00000000,   138.88500000,
06/04/16,21:00,   147.00000000,   138.88500000,
06/04/16,22:00,   147.00000000,   138.88500000,
06/04/16,23:00,   147.00000000,   138.88500000,
06/05/16,00:00,   147.00000000,   138.88500000,
