DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
06/01/16,00:00,   138.88500000,640236.40000000,   210.21000000,     0.00000000,
06/01/16,01:00,   150.02307692,640756.43451971,   210.21984168,     0.00001042,
06/01/16,02:00,   232.27349112,641444.56830464,   210.23286465,     0.00001044,
06/01/16,03:00,   263.90826582,642337.69542951,   210.24976714,     0.00001047,
06/01/16,04:00,   276.07548685,643309.66614658,   210.26816174,     0.00001050,
06/01/16,05:00,   269.61711033,644291.91278364,   210.28675081,     0.00001054,
06/01/16,06:00,   190.53042705,644823.17831292,   210.29680504,   165.00001057,
06/01/16,07:00,   157.61208733,644855.83480069,   210.29742307,   165.00001059,
06/01/16,08:00,    60.62003359,644537.65258020,   210.29140145,   230.00001059,
06/01/16,09:00,    23.31539753,643860.73631810,   210.27859077,   230.00001058,
06/01/16,10:00,    14.80169136,643101.34704005,   210.26421929,   230.00001056,
06/01/16,11:00,    52.36680437,642394.25029441,   210.25083744,   230.00001053,
06/01/16,12:00,    73.02800168,641908.96090744,   210.24165331,   165.00001050,
06/01/16,13:00,   124.46615449,641670.45035078,   210.23713948,   165.00001048,
06/01/16,14:00,   158.72198250,640713.18895964,   210.21902326,   650.00001047,
06/01/16,15:00,   273.20076250,639150.64986299,   210.18945212,   650.00001044,
06/01/16,16:00,   307.75990865,638081.37903359,   210.16921611,   525.00001038,
06/01/16,17:00,   252.02611871,637792.99384556,   210.16375840,   195.00001034,
06/01/16,18:00,   200.35812258,637905.28544269,   210.16588352,   195.00001033,
06/01/16,19:00,   102.51927792,637748.46472640,   210.16291568,   195.00001033,
06/01/16,20:00,    78.30010689,637317.93958187,   210.15476797,   225.00001033,
06/01/16,21:00,   174.00119496,636962.08188805,   210.14803334,   225.00001031,
06/01/16,22:00,   288.77584421,636985.08052148,   210.14846859,   225.00001030,
06/01/16,23:00,   315.87186316,637668.44635768,   210.16140133,     0.00001030,
06/02/16,00:00,   218.09494737,638629.58657952,   210.17959096,     0.00001032,
06/02/16,01:00,   258.47159094,639487.40631124,   210.19582525,     0.00001036,
06/02/16,02:00,   252.22482109,640406.65981555,   210.21322218,     0.00001039,
06/02/16,03:00,    97.15100783,641035.53627013,   210.22512370,     0.00001043,
06/02/16,04:00,    37.63486985,641278.15081237,   210.22971519,     0.00001045,
06/02/16,05:00,    14.93033769,641372.76814830,   210.23150583,     0.00001046,
06/02/16,06:00,     6.42578541,641411.20913223,   210.23223333,     0.00001046,
06/02/16,07:00,    26.58580671,641173.62996038,   210.22773713,   165.00001046,
06/02/16,08:00,   196.20291206,640467.64961652,   210.21437641,   450.00001046,
06/02/16,09:00,   251.22404573,639258.81810295,   210.19149921,   669.00001043,
06/02/16,10:00,   221.91673371,637961.27146847,   210.16694306,   525.00001038,
06/02/16,11:00,   128.78310837,636837.53114691,   210.14567621,   450.00001033,
06/02/16,12:00,    58.96151691,635951.47143527,   210.12890748,   230.00001029,
06/02/16,13:00,    71.56826069,634827.42499797,   210.10763484,   525.00001026,
06/02/16,14:00,    86.82555006,633519.53382046,   210.08288293,   360.00001022,
06/02/16,15:00,   150.06055102,632649.92876571,   210.06642560,   360.00001017,
06/02/16,16:00,    96.48619023,631797.71286342,   210.05029737,   360.00001013,
06/02/16,17:00,    85.33449230,631134.99005555,   210.03775530,   190.00001010,
06/02/16,18:00,   154.74380866,631225.13096096,   210.03946122,     0.00001008,
06/02/16,19:00,   236.64097374,631929.62353301,   210.05279378,     0.00001008,
06/02/16,20:00,   268.17344650,632838.28945311,   210.06999034,     0.00001011,
06/02/16,21:00,   281.69297987,633531.04898413,   210.08310085,   165.00001014,
06/02/16,22:00,   296.46256740,633977.72893266,   210.09155429,   165.00001017,
06/02/16,23:00,   302.16241927,634461.25387205,   210.10070503,   165.00001018,
06/03/16,00:00,   291.86818680,635233.50892629,   210.11532000,     0.00001020,
