DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
06/03/16,01:00,   222.18687276,635924.81256610,   210.12840296,     0.00001022,
06/03/16,02:00,   182.72867012,636653.66050642,   210.14219645,     0.00001026,
06/03/16,03:00,   163.00602870,637275.98292733,   210.15397394,     0.00001028,
06/03/16,04:00,   153.15017584,637845.06405845,   210.16474383,     0.00001031,
06/03/16,05:00,   148.22660985,638387.54223554,   210.17501026,     0.00001033,
06/03/16,06:00,   145.76857590,638916.73353266,   210.18502524,     0.00001035,
06/03/16,07:00,   144.54256971,639439.29355746,   210.19491472,     0.00001037,
06/03/16,08:00,   143.93202368,639544.54778818,   210.19690666,   230.00001039,
06/03/16,09:00,   143.62883860,639234.15730287,   210.19103250,   230.00001039,
06/03/16,10:00,   143.47894178,638922.95127016,   210.18514291,   230.00001038,
06/03/16,11:00,   143.40559682,638683.34340228,   210.18060832,   190.00001037,
06/03/16,12:00,   143.37025092,638443.53989088,   210.17607002,   230.00001036,
06/03/16,13:00,   143.35362771,637771.64283512,   210.16335433,   430.00001035,
06/03/16,14:00,   143.34608898,636379.70228793,   210.13701178,   630.00001033,
06/03/16,15:00,   143.34288486,634627.74240376,   210.10385584,   630.00001027,
06/03/16,16:00,   143.34162886,633282.57449160,   210.07839846,   404.00001021,
06/03/16,17:00,   143.34111622,632774.40339610,   210.06878129,   165.00001016,
06/03/16,18:00,   143.34074455,632993.43070896,   210.07292639,     0.00001014,
06/03/16,19:00,   143.34044335,633212.45681067,   210.07707148,   165.00001015,
06/03/16,20:00,   143.34029276,633134.48209912,   210.07559580,   165.00001015,
06/03/16,21:00,   143.34021746,633056.50698096,   210.07412012,   165.00001015,
06/03/16,22:00,   143.34017981,632978.53165950,   210.07264443,   165.00001015,
06/03/16,23:00,   143.34016098,632900.55623640,   210.07116874,   165.00001015,
06/04/16,00:00,   143.34015157,633119.58076248,   210.07531379,     0.00001014,
06/04/16,01:00,   143.34014687,633635.60526314,   210.08507958,     0.00001015,
06/04/16,02:00,   143.34014451,634151.62975105,   210.09484538,     0.00001017,
06/04/16,03:00,   143.34014334,634667.65423253,   210.10461117,     0.00001019,
06/04/16,04:00,   143.34014275,635183.67871076,   210.11437696,     0.00001021,
06/04/16,05:00,   143.34014245,635699.70318733,   210.12414276,     0.00001023,
06/04/16,06:00,   143.34014231,636215.72766304,   210.13390855,     0.00001025,
06/04/16,07:00,   143.34014223,636731.75213829,   210.14367434,     0.00001027,
06/04/16,08:00,   143.34014220,637247.77661326,   210.15344013,     0.00001029,
06/04/16,09:00,   143.34014218,637349.80108806,   210.15537095,   230.00001031,
06/04/16,10:00,   143.34014217,637037.82556278,   210.14946680,   230.00001031,
06/04/16,11:00,   143.34014216,636725.85003748,   210.14356264,   230.00001030,
06/04/16,12:00,   143.34014216,636413.87451221,   210.13765849,   230.00001029,
06/04/16,13:00,   143.34014216,636101.89898698,   210.13175433,   230.00001028,
06/04/16,14:00,   143.34014216,635789.92346179,   210.12585018,   230.00001026,
06/04/16,15:00,   143.34014216,635549.94793664,   210.12130863,   190.00001025,
06/04/16,16:00,   143.34014216,635381.97241152,   210.11812968,   190.00001024,
06/04/16,17:00,   143.34014216,635213.99688643,   210.11495074,   190.00001024,
06/04/16,18:00,   143.34014216,635388.02136137,   210.11824416,     0.00001023,
06/04/16,19:00,   143.34014216,635904.04583630,   210.12800995,     0.00001024,
06/04/16,20:00,   143.34014216,636006.07031119,   210.12994077,   230.00001026,
06/04/16,21:00,   143.34014216,635694.09478604,   210.12403662,   230.00001026,
06/04/16,22:00,   143.34014216,635382.11926090,   210.11813246,   230.00001025,
06/04/16,23:00,   143.34014216,635070.14373580,   210.11222831,   230.00001024,
06/05/16,00:00,   143.34014216,635172.16821075,   210.11415913,     0.00001022,
