DAY,TIME,INFLOW (m3/s),OUTFLOW (m3/s),
06/01/16,00:00,   147.00000000,   138.88500000,
06/01/16,01:00,   294.00000000,   138.88500000,
06/01/16,02:00,   294.00000000,   211.28250000,
06/01/16,03:00,   294.00000000,   247.48125000,
06/01/16,04:00,   294.00000000,   265.58062500,
06/01/16,05:00,   147.00000000,   274.63031250,
06/01/16,06:00,   165.00000000,   206.75765625,
06/01/16,07:00,     0.00000000,   181.68632812,
06/01/16,08:00,     0.00000000,    90.84316406,
06/01/16,09:00,     0.00000000,    45.42158203,
06/01/16,10:00,    83.00000000,    22.71079102,
06/01/16,11:00,    83.00000000,    49.27789551,
06/01/16,12:00,   165.00000000,    62.56144775,
06/01/16,13:00,   165.00000000,   109.58822388,
06/01/16,14:00,   356.00000000,   133.10161194,
06/01/16,15:00,   356.00000000,   238.92580597,
06/01/16,16:00,   231.00000000,   291.83790298,
06/01/16,17:00,   195.00000000,   256.73145149,
06/01/16,18:00,    48.00000000,   221.44822575,
06/01/16,19:00,    48.00000000,   131.40911287,
06/01/16,20:00,   225.00000000,    86.38955644,
06/01/16,21:00,   372.00000000,   151.05227822,
06/01/16,22:00,   372.00000000,   255.78113911,
06/01/16,23:00,   147.00000000,   308.14556955,
06/02/16,00:00,   294.00000000,   223.51528478,
06/02/16,01:00,   294.00000000,   253.59764239,
06/02/16,02:00,     0.00000000,   268.63882119,
06/02/16,03:00,     0.00000000,   134.31941060,
06/02/16,04:00,     0.00000000,    67.15970530,
06/02/16,05:00,     0.00000000,    33.57985265,
06/02/16,06:00,     0.00000000,    16.78992632,
06/02/16,07:00,   312.00000000,     8.39496316,
06/02/16,08:00,   303.00000000,   154.90248158,
06/02/16,09:00,   228.00000000,   223.72374079,
06/02/16,10:00,    84.00000000,   221.19687040,
06/02/16,11:00,     9.00000000,   149.01343520,
06/02/16,12:00,    83.00000000,    75.98421760,
06/02/16,13:00,    84.00000000,    75.91460880,
06/02/16,14:00,   213.00000000,    76.37230440,
06/02/16,15:00,    66.00000000,   140.13365220,
06/02/16,16:00,    66.00000000,    99.61682610,
06/02/16,17:00,   190.00000000,    79.35841305,
06/02/16,18:00,   294.00000000,   130.29920652,
06/02/16,19:00,   294.00000000,   206.98960326,
06/02/16,20:00,   294.00000000,   245.33480163,
06/02/16,21:00,   312.00000000,   264.50740082,
06/02/16,22:00,   312.00000000,   282.95870041,
06/02/16,23:00,   312.00000000,   292.18435020,
06/03/16,00:00,   147.00000000,   296.79717510,
06/03/16,01:00,   147.00000000,   217.84108755,
06/03/16,02:00,   147.00000000,   178.36304378,
06/03/16,03:00,     0.00000000,   158.62402189,
06/03/16,04:00,     0.00000000,    79.31201094,
06/03/16,05:00,     0.00000000,    39.65600547,
06/03/16,06:00,     0.00000000,    19.82800274,
06/03/16,07:00,     0.00000000,     9.91400137,
06/03/16,08:00,    83.00000000,     4.95700068,
06/03/16,09:00,    83.00000000,    40.40100034,
06/03/16,10:00,   230.00000000,    58.12300017,
06/03/16,11:00,   190.00000000,   139.38150009,
06/03/16,12:00,   230.00000000,   160.31075004,
06/03/16,13:00,   283.00000000,   190.47537502,
06/03/16,14:00,   189.00000000,   231.66018751,
06/03/16,15:00,   189.00000000,   205.95759376,
06/03/16,16:00,   110.00000000,   193.10629688,
06/03/16,17:00,   165.00000000,   147.77314844,
06/03/16,18:00,   294.00000000,   152.19407422,
06/03/16,19:00,   459.00000000,   217.93703711,
06/03/16,20:00,   459.00000000,   332.07101855,
06/03/16,21:00,   165.00000000,   389.13800928,
06/03/16,22:00,   165.00000000,   272.87650464,
06/03/16,23:00,   312.00000000,   214.74575232,
06/04/16,00:00,   294.00000000,   258.07787616,
06/04/16,01:00,   147.00000000,   270.87893808,
06/04/16,02:00,     0.00000000,   204.88196904,
06/04/16,03:00,     0.00000000,   102.44098452,
06/04/16,04:00,     0.00000000,    51.22049226,
06/04/16,05:00,     0.00000000,    25.61024613,
06/04/16,06:00,     0.00000000,    12.80512306,
06/04/16,07:00,     0.00000000,     6.40256153,
06/04/16,08:00,     0.00000000,     3.20128077,
06/04/16,09:00,     0.00000000,     1.60064038,
06/04/16,10:00,    83.00000000,     0.80032019,
06/04/16,11:00,     0.00000000,    38.32266010,
06/04/16,12:00,     0.00000000,    19.16133005,
06/04/16,13:00,     0.00000000,     9.58066502,
06/04/16,14:00,     0.00000000,     4.79033251,
06/04/16,15:00,    43.00000000,     2.39516626,
06/04/16,16:00,   337.00000000,    19.42008313,
06/04/16,17:00,   190.00000000,   172.72754156,
06/04/16,18:00,   441.00000000,   176.98377078,
06/04/16,19:00,   147.00000000,   302.72938539,
06/04/16,20:00,     0.00000000,   220.80719270,
06/04/16,21:00,     0.00000000,   110.40359635,
06/04/16,22:00,   230.00000000,    55.20179817,
06/04/16,23:00,   230.00000000,   137.92089909,
06/05/16,00:00,   147.00000000,   179.28044954,
06/05/16,01:00,   147.00000000,   159.08272477,
06/05/16,02:00,   147.00000000,   148.98386239,
06/05/16,03:00,     0.00000000,   143.93443119,
06/05/16,04:00,     0.00000000,    71.96721560,
06/05/16,05:00,     0.00000000,    35.98360780,
06/05/16,06:00,     0.00000000,    17.99180390,
06/05/16,07:00,     0.00000000,     8.99590195,
06/05/16,08:00,     0.00000000,     4.49795097,
