DAY,TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
06/01/16,00:00,   138.88500000,639179.60000000,   210.19000000,     0.00000000,
06/01/16,01:00,   138.88500000,639679.58598132,   210.19946226,     0.00001038,
06/01/16,02:00,   211.28250000,640309.88744391,   210.21139075,     0.00001040,
06/01/16,03:00,   247.48125000,641135.66215643,   210.22701859,     0.00001042,
06/01/16,04:00,   265.58062500,642059.17349386,   210.24449609,     0.00001045,
06/01/16,05:00,   274.63031250,643031.55314366,   210.26289843,     0.00001049,
06/01/16,06:00,   206.75765625,643601.05144958,   210.27367622,   165.00001053,
06/01/16,07:00,   181.68632812,643706.25058353,   210.27566712,   165.00001055,
06/01/16,08:00,    90.84316406,643485.80363149,   210.27149515,   230.00001055,
06/01/16,09:00,    45.42158203,642903.08013648,   210.26046707,   230.00001054,
06/01/16,10:00,    22.71079102,642197.71837005,   210.24711806,   230.00001052,
06/01/16,11:00,    49.27789551,641499.29796797,   210.23390042,   230.00001049,
06/01/16,12:00,    62.56144775,640989.60874811,   210.22425452,   165.00001047,
06/01/16,13:00,   109.58822388,640705.47811939,   210.21887733,   165.00001045,
06/01/16,14:00,   133.10161194,639675.31978627,   210.19938153,   650.00001044,
06/01/16,15:00,   238.92580597,638004.96910099,   210.16777004,   650.00001040,
06/01/16,16:00,   291.83790298,636845.34373979,   210.14582407,   525.00001034,
06/01/16,17:00,   256.73145149,636536.76854072,   210.13998426,   195.00001029,
06/01/16,18:00,   221.44822575,636695.49192272,   210.14298811,   195.00001028,
06/01/16,19:00,   131.40911287,636628.63509522,   210.14172284,   195.00001029,
06/01/16,20:00,    86.38955644,636264.67266295,   210.13483483,   225.00001028,
06/01/16,21:00,   151.05227822,635882.06792833,   210.12759402,   225.00001027,
06/01/16,22:00,   255.78113911,635804.36804258,   210.12612354,   225.00001026,
06/01/16,23:00,   308.14556955,636414.43608126,   210.13766912,     0.00001025,
06/02/16,00:00,   223.51528478,637371.42558210,   210.15578020,     0.00001028,
06/02/16,01:00,   253.61425357,638230.25871408,   210.17203366,     0.00001031,
06/02/16,02:00,   268.70711161,639170.43713422,   210.18982659,     0.00001034,
06/02/16,03:00,   134.48713740,639896.18674513,   210.20356144,     0.00001038,
06/02/16,04:00,    67.49331321,640259.75151880,   210.21044193,     0.00001041,
06/02/16,05:00,    34.16355114,640442.73383714,   210.21390488,     0.00001042,
06/02/16,06:00,    17.69777358,640536.08418410,   210.21567154,     0.00001043,
06/02/16,07:00,     9.67310135,640288.35172143,   210.21098319,   165.00001043,
06/02/16,08:00,   156.57052114,639480.59020438,   210.19569626,   450.00001042,
06/02/16,09:00,   225.78168171,638154.62413203,   210.17060227,   669.00001039,
06/02/16,10:00,   223.62510225,636814.35630584,   210.14523763,   525.00001034,
06/02/16,11:00,   151.78058131,635735.08649911,   210.12481239,   450.00001029,
06/02/16,12:00,    79.05267210,634926.58631829,   210.10951147,   230.00001025,
06/02/16,13:00,    79.23592241,633852.50575158,   210.08918444,   525.00001022,
