DAY,TIME,PRECIP(mm),LOSS(mm),EXCESS(mm),DIRECT FLOW(m3/s),BASE FLOW(m3/s),TOTAL FLOW(m3/s),
"06/01/16",00:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",01:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",02:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",03:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",04:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",05:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",06:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",07:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",08:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",09:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",10:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",11:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",12:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",13:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",14:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",15:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",16:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",17:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",18:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",19:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",20:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",21:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",22:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/01/16",23:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/02/16",00:00,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,     0.00000000,
"06/02/16",01:00,     0.30500000,     0.28975000,     0.01525000,     0.01661118,     0.00000000,     0.01661118,
"06/02/16",02:00,     0.30500000,     0.28975000,     0.01525000,     0.06829042,     0.00000000,     0.06829042,
"06/02/16",03:00,     0.30500000,     0.28975000,     0.01525000,     0.16772680,     0.00000000,     0.16772680,
"06/02/16",04:00,     0.30500000,     0.28975000,     0.01525000,     0.33360791,     0.00000000,     0.33360791,
"06/02/16",05:00,     0.30500000,     0.28975000,     0.01525000,     0.58369849,     0.00000000,     0.58369849,
"06/02/16",06:00,     0.30500000,     0.28975000,     0.01525000,     0.90784725,     0.00000000,     0.90784725,
"06/02/16",07:00,     0.30500000,     0.28975000,     0.01525000,     1.27813819,     0.00000000,     1.27813819,
"06/02/16",08:00,     0.30500000,     0.28975000,     0.01525000,     1.66803955,     0.00000000,     1.66803955,
"06/02/16",09:00,     0.30500000,     0.28975000,     0.01525000,     2.05794092,     0.00000000,     2.05794092,
"06/02/16",10:00,     0.30500000,     0.28975000,     0.01525000,     2.42823185,     0.00000000,     2.42823185,
"06/02/16",11:00,     0.30500000,     0.28975000,     0.01525000,     2.76714612,     0.00000000,     2.76714612,
"06/02/16",12:00,     0.30500000,     0.28975000,     0.01525000,     3.06845451,     0.00000000,     3.06845451,
"06/02/16",13:00,     0.30500000,     0.28975000,     0.01525000,     3.32131361,     0.00000000,     3.32131361,
"06/02/16",14:00,     0.30500000,     0.28975000,     0.01525000,     3.52249349,     0.00000000,     3.52249349,
"06/02/16",15:00,     0.30500000,     0.28975000,     0.01525000,     3.68514465,     0.00000000,     3.68514465,
"06/02/16",16:00,     0.30500000,     0.28975000,     0.01525000,     3.81872624,     0.00000000,     3.81872624,
"06/02/16",17:00,     0.30500000,     0.28975000,     0.01525000,     3.92854461,     0.00000000,     3.92854461,
"06/02/16",18:00,     0.30500000,     0.28975000,     0.01525000,     4.02152109,     0.00000000,     4.02152109,
"06/02/16",19:00,     0.30500000,     0.28975000,     0.01525000,     4.09855545,     0.00000000,     4.09855545,
"06/02/16",20:00,     0.30500000,     0.28975000,     0.01525000,     4.16174715,     0.00000000,     4.16174715,
"06/02/16",21:00,     0.30500000,     0.28975000,     0.01525000,     4.21386474,     0.00000000,     4.21386474,
"06/02/16",22:00,     0.30500000,     0.28975000,     0.01525000,     4.25675389,     0.00000000,     4.25675389,
"06/02/16",23:00,     0.30500000,     0.28975000,     0.01525000,     4.29249100,     0.00000000,     4.29249100,
"06/03/16",00:00,     0.30500000,     0.28975000,     0.01525000,     4.32167592,     0.00000000,     4.32167592,
"06/03/16",01:00,     0.00710000,     0.00674500,     0.00035500,     4.32956071,     0.00000000,     4.32956071,
"06/03/16",02:00,     0.00710000,     0.00674500,     0.00035500,     4.29892564,     0.00000000,     4.29892564,
"06/03/16",03:00,     0.00710000,     0.00674500,     0.00035500,     4.21818448,     0.00000000,     4.21818448,
"06/03/16",04:00,     0.00710000,     0.00674500,     0.00035500,     4.06982294,     0.00000000,     4.06982294,
"06/03/16",05:00,     0.00710000,     0.00674500,     0.00035500,     3.83674362,     0.00000000,     3.83674362,
