TIME,INFLOW (m3/s),OUTFLOW (m3/s),
    0,    21.00000000,     9.90000000,
    1,    21.00000000,     9.90000000,
    2,    21.00000000,     9.90000000,
    3,    21.00000000,     9.90000000,
    4,    21.00000000,     9.90000000,
    5,    21.00000000,     9.90000000,
    6,    10.00000000,     9.90000000,
    7,    10.00000000,     4.95000000,
    8,    20.00000000,     2.47500000,
    9,    38.00000000,     5.69250000,
   10,    20.00000000,    16.21125000,
   11,    10.00000000,    12.56062500,
   12,    10.00000000,     6.28031250,
   13,    10.00000000,     3.14015625,
   14,    10.00000000,     1.57007812,
   15,    10.00000000,     0.78503906,
   16,    10.00000000,     0.39251953,
   17,    10.00000000,     0.19625977,
   18,   204.00000000,     0.09812988,
   19,   606.00000000,    95.58406494,
   20,   606.00000000,   342.31703247,
   21,   606.00000000,   465.68351624,
   22,    20.00000000,   527.36675812,
   23,    10.00000000,   268.13837906,
   24,    10.00000000,   134.06918953,
   25,    10.00000000,    67.03459476,
   26,    10.00000000,    33.51729738,
   27,    10.00000000,    16.75864869,
   28,    10.00000000,     8.37932435,
   29,    10.00000000,     4.18966217,
   30,    10.00000000,     2.09483109,
   31,    43.00000000,     1.04741554,
   32,    43.00000000,    16.36370777,
   33,    43.00000000,    24.02185389,
   34,    13.00000000,    27.85092694,
   35,    10.00000000,    14.91546347,
   36,    20.00000000,     7.45773174,
   37,    43.00000000,     8.18386587,
   38,    10.00000000,    19.93193293,
   39,   165.00000000,     9.96596647,
   40,   165.00000000,    81.21298323,
   41,   190.00000000,   116.83649162,
   42,   147.00000000,   147.02324581,
   43,   147.00000000,   140.83162290,
   44,    70.00000000,   137.73581145,
   45,    70.00000000,    98.07290573,
   46,    17.00000000,    78.24145286,
   47,    10.00000000,    42.09072643,
   48,    10.00000000,    21.04536322,
   49,    10.00000000,    10.52268161,
   50,    10.00000000,     5.26134080,
   51,    10.00000000,     2.63067040,
   52,    10.00000000,     1.31533520,
   53,    10.00000000,     0.65766760,
   54,    10.00000000,     0.32883380,
   55,    18.00000000,     0.16441690,
   56,    10.00000000,     3.54720845,
   57,    10.00000000,     1.77360423,
   58,    10.00000000,     0.88680211,
   59,   147.00000000,     0.44340106,
   60,   156.00000000,    67.54170053,
   61,    18.00000000,   105.54585026,
   62,    18.00000000,    56.23792513,
   63,    18.00000000,    31.58396257,
   64,    10.00000000,    19.25698128,
   65,    18.00000000,     9.62849064,
   66,    10.00000000,     8.27924532,
   67,   137.00000000,     4.13962266,
   68,   147.00000000,    64.43981133,
   69,   312.00000000,    99.53990567,
   70,   312.00000000,   198.76495283,
