TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,     9.90000000,632310.40000000,   210.06000000,     0.00000000,
    1,     9.90000000,632346.03998189,   210.06067449,     0.00001012,
    2,     9.90000000,632381.67994533,   210.06134898,     0.00001012,
    3,     9.90000000,632417.31990876,   210.06202347,     0.00001012,
    4,     9.90000000,632452.95987220,   210.06269795,     0.00001013,
    5,     9.90000000,632488.59983563,   210.06337244,     0.00001013,
    6,     9.90000000,632524.23979907,   210.06404693,     0.00001013,
    7,     4.95000000,632217.96976242,   210.05825075,   185.00001012,
    8,     2.47500000,631565.33472586,   210.04589960,   185.00001009,
    9,     5.69250000,630914.03618941,   210.03357374,   185.00001007,
   10,    16.21125000,630620.46290326,   210.02801784,     0.00001006,
   11,    12.56062500,630672.25224204,   210.02899796,     0.00001006,
   12,     6.28031250,630706.16589327,   210.02963978,     0.00001006,
   13,     3.14015625,630723.12270064,   210.02996069,     0.00001006,
   14,     1.57007812,630731.60108609,   210.03012114,     0.00001006,
   15,     0.78503906,630735.84026079,   210.03020137,     0.00001006,
   16,     0.39251953,630737.95982990,   210.03024148,     0.00001006,
   17,     0.19625977,630739.01959643,   210.03026154,     0.00001006,
   18,     0.09812988,630739.54946146,   210.03027156,     0.00001006,
   19,    95.58406494,630614.77737589,   210.02791025,   165.00001006,
   20,   342.31703247,630808.99931498,   210.03158591,   165.00001006,
   21,   465.68351624,631669.40026641,   210.04786904,   165.00001010,
   22,   527.36675812,632862.89072380,   210.07045592,   165.00001014,
   23,   268.13837906,633997.79993429,   210.09193414,     0.00001018,
   24,   134.06918953,634721.77352095,   210.10563538,     0.00001021,
   25,    67.03459476,635083.76029582,   210.11248600,     0.00001022,
   26,    33.51729738,635264.75366502,   210.11591131,     0.00001023,
   27,    16.75864869,635355.25033116,   210.11762397,     0.00001024,
   28,     8.37932435,635400.49864578,   210.11848029,     0.00001024,
   29,     4.18966217,635423.12278485,   210.11890846,     0.00001024,
   30,     2.09483109,635434.43483572,   210.11912254,     0.00001024,
   31,     1.04741554,635098.09084291,   210.11275721,   190.00001023,
   32,    16.36370777,634445.43082790,   210.10040558,   190.00001020,
   33,    24.02185389,633834.12480206,   210.08883658,   190.00001018,
   34,    27.85092694,633243.49577103,   210.07765889,   190.00001016,
   35,    14.91546347,632636.47523713,   210.06617099,   190.00001013,
   36,     7.45773174,631992.74695196,   210.05398840,   190.00001011,
   37,     8.18386587,631336.90179143,   210.04157649,   190.00001008,
   38,    19.93193293,630748.51019306,   210.03044115,   165.00001006,
   39,     9.96596647,630208.32637591,   210.02021814,   165.00001004,
   40,    81.21298323,629778.44844913,   210.01208267,   165.00001002,
   41,   116.83649162,629495.93746775,   210.00673614,   190.00001001,
   42,   147.02324581,629628.88495901,   210.00925218,     0.00001002,
   43,   140.83162290,630147.02368653,   210.01905798,     0.00001004,
   44,   137.73581145,630648.44503224,   210.02854741,     0.00001006,
   45,    98.07290573,631072.90068682,   210.03658026,     0.00001007,
   46,    78.24145286,631390.26649602,   210.04258642,     0.00001009,
   47,    42.09072643,631606.86438230,   210.04668555,     0.00001009,
   48,    21.04536322,631720.50930746,   210.04883629,     0.00001010,
   49,    10.52268161,631777.33175180,   210.04991165,     0.00001010,
   50,     5.26134080,631805.74295595,   210.05044934,     0.00001010,
   51,     2.63067040,631819.94853957,   210.05071818,     0.00001010,
   52,     1.31533520,631827.05131314,   210.05085260,     0.00001010,
   53,     0.65766760,631830.60268190,   210.05091981,     0.00001010,
   54,     0.32883380,631832.37834805,   210.05095341,     0.00001010,
   55,     0.16441690,631536.26616309,   210.04534947,   165.00001009,
   56,     3.54720845,631245.94705222,   210.03985517,     0.00001008,
   57,     1.77360423,631255.52447861,   210.04003642,     0.00001008,
   58,     0.88680211,631260.31317356,   210.04012705,     0.00001008,
   59,     0.44340106,631262.70750301,   210.04017236,     0.00001008,
   60,    67.54170053,631088.08064960,   210.03686754,   165.00001007,
   61,   105.54585026,630805.63820470,   210.03152230,   165.00001006,
   62,    56.23792513,630502.84896424,   210.02579199,   165.00001005,
   63,    31.58396257,630066.92832611,   210.01754217,   165.00001004,
   64,    19.25698128,629861.44198893,   210.01365333,     0.00001003,
   65,     9.62849064,629616.43580216,   210.00901657,   165.00001002,
   66,     8.27924532,629351.66969102,   210.00400586,     0.00001001,
   67,     4.13962266,629374.02361749,   210.00442891,     0.00001001,
   68,    64.43981133,629497.46656249,   210.00676507,     0.00001001,
   69,    99.53990567,629495.63001707,   210.00673032,   165.00001001,
   70,   198.76495283,629438.57872623,   210.00565062,   165.00001001,
   71,   248.37747642,629946.43506301,   210.01526183,     0.00001003,
   72,   191.50873821,630738.23021305,   210.03024660,     0.00001006,
   73,   163.07436910,631376.47977002,   210.04232551,     0.00001008,
   74,   148.85718455,631937.95653046,   210.05295149,     0.00001011,
   75,    74.42859228,632339.87089232,   210.06055774,     0.00001012,
   76,    37.21429614,632540.82805522,   210.06436086,     0.00001013,
   77,    18.60714807,632641.30661843,   210.06626243,     0.00001013,
   78,     9.30357403,632691.54588159,   210.06721321,     0.00001013,
   79,     4.65178702,632383.66549514,   210.06138655,   185.00001012,
   80,    58.75589351,631831.79928358,   210.05094245,   185.00001010,
   81,    33.33794675,631331.56815975,   210.04147555,   185.00001008,
   82,    20.62897338,630762.70857952,   210.03070985,   185.00001006,
   83,    23.67948669,630509.46377147,   210.02591718,     0.00001005,
   84,    42.52974334,630628.64034932,   210.02817260,     0.00001006,
   85,    52.44987167,630466.60362022,   210.02510605,   185.00001005,
   86,    39.58993584,629966.27523769,   210.01563731,   185.00001003,
   87,    33.15996792,629431.22502826,   210.00551145,   185.00001001,
   88,   248.23998396,629271.74490570,   210.00249328,   185.00001000,
   89,   355.77999198,629692.98082627,   210.01046519,   185.00001002,
   90,   482.31499599,630535.55176839,   210.02641090,   185.00001005,
   91,   472.81749799,631588.79022149,   210.04634349,   185.00001009,
   92,   540.83374900,632747.36242965,   210.06826954,   185.00001014,
   93,   502.07687450,633958.60151557,   210.09119231,   185.00001018,
   94,   482.69843725,635065.19704016,   210.11213469,   185.00001022,
   95,   473.00921862,636119.47078389,   210.13208688,   185.00001026,
   96,   395.39960931,637016.60663714,   210.14906523,   185.00001030,
   97,   356.59480466,638037.19654516,   210.16837995,     0.00001034,
   98,   318.38240233,639252.15548033,   210.19137312,     0.00001038,
   99,   226.51120116,640232.96392927,   210.20993497,     0.00001042,
  100,   180.57560058,640965.72013469,   210.22380242,     0.00001045,
  101,   121.47280029,641509.40721851,   210.23409173,     0.00001047,
  102,    91.42640015,641595.62574154,   210.23572342,   165.00001047,
  103,    49.17820007,641254.71398411,   210.22927165,   165.00001046,
  104,    28.05410004,640763.73208686,   210.21997979,   185.00001044,
  105,    14.02705002,640173.47811926,   210.20880920,   185.00001042,
  106,    20.37852501,639569.40811699,   210.19737714,   185.00001039,
  107,   169.08426250,639244.44109695,   210.19122712,   185.00001038,
  108,   170.67213125,639190.00256823,   210.19019687,   185.00001038,
  109,   244.23106563,639270.82828515,   210.19172650,   185.00001038,
  110,   135.48053281,639288.30912493,   210.19205733,   185.00001038,
  111,    81.10526641,639012.16352618,   210.18683126,   185.00001037,
  112,    45.00763320,638573.16670802,   210.17852322,   185.00001036,
  113,    25.96881660,638034.92428033,   210.16833695,   185.00001034,
  114,    16.44940830,637445.27704808,   210.15717784,   185.00001031,
  115,    94.35470415,636978.72441356,   210.14834830,   185.00001030,
  116,   133.30735208,636722.51607782,   210.14349955,   185.00001029,
  117,   225.54867604,636702.45689146,   210.14311993,   185.00001029,
  118,   271.66933802,636931.44927976,   210.14745362,   185.00001029,
  119,   294.72966901,637617.96745517,   210.16044602,     0.00001032,
  120,   306.25983450,638699.74852435,   210.18091878,     0.00001036,
  121,   153.12991725,639526.65004002,   210.19656794,     0.00001039,
  122,    76.56495863,639940.10077898,   210.20439252,     0.00001041,
  123,    38.28247931,640146.82612979,   210.20830481,     0.00001042,
  124,    19.14123966,640250.18878652,   210.21026095,     0.00001042,
  125,     9.57061983,640301.87009622,   210.21123903,     0.00001042,
  126,     4.78530991,639994.71073219,   210.20542602,   185.00001041,
  127,    15.75765496,639365.68803131,   210.19352173,   185.00001039,
  128,     7.87882748,638742.23366243,   210.18172282,   185.00001036,
  129,    17.30441374,638157.56345927,   210.17065790,   165.00001034,
  130,    84.88220687,637711.49933921,   210.16221611,   185.00001032,
  131,   201.33610343,637560.69226052,   210.15936208,   185.00001032,
  132,   259.56305172,637724.31070243,   210.16245857,   185.00001032,
  133,   143.14652586,637702.18790471,   210.16203989,   230.00001032,
  134,   115.62826293,637339.98248731,   210.15518513,   230.00001031,
  135,   116.71913146,636930.20776002,   210.14743012,   230.00001029,
  136,   166.76456573,636612.47837803,   210.14141708,   230.00001028,
  137,   191.78728287,636429.87166869,   210.13796124,   230.00001028,
  138,   204.29864143,636314.82629525,   210.13578399,   230.00001027,
  139,   210.55432072,636233.56158997,   210.13424606,   230.00001027,
  140,   213.68216036,636169.18721878,   210.13302777,   230.00001027,
  141,   215.24608018,636194.25801484,   210.13350223,   185.00001027,
  142,   211.07804009,636295.64139444,   210.13542092,   185.00001027,
  143,   191.66902004,636687.58606564,   210.14283849,     0.00001029,
  144,   134.93951002,637275.48138281,   210.15396445,     0.00001031,
  145,    76.87475501,637656.74702293,   210.16117992,     0.00001032,
  146,    47.84237751,637881.23782422,   210.16542842,     0.00001033,
  147,    33.32618875,638027.34120609,   210.16819344,     0.00001034,
  148,    28.54309438,638138.70587851,   210.17030102,     0.00001034,
  149,    28.62654719,637908.61119630,   210.16594646,   185.00001033,
  150,    28.66827359,637345.74183637,   210.15529413,   185.00001031,
  151,    27.69913680,636700.20313779,   210.14307727,   230.00001029,
  152,    13.84956840,636027.99077007,   210.13035562,   185.00001026,
  153,     6.92478420,635399.38456775,   210.11845921,   185.00001024,
  154,   132.65739210,634984.63244845,   210.11061000,   185.00001022,
  155,   152.45869605,634750.84137022,   210.10618549,   230.00001021,
  156,   242.54934802,634714.85581295,   210.10550446,   185.00001021,
  157,   293.03967401,635012.91601593,   210.11114527,   185.00001022,
  158,   232.64983701,635293.15709893,   210.11644885,   185.00001023,
  159,   275.21991850,635541.32262193,   210.12114539,   185.00001024,
  160,   296.50495925,635904.42736513,   210.12801717,   185.00001026,
  161,   234.38247963,636194.02471801,   210.13349782,   185.00001027,
  162,   203.32123981,636315.89137599,   210.13580415,   185.00001027,
  163,   115.02561991,636222.91568653,   210.13404458,   185.00001027,
  164,    70.87780995,635891.54182316,   210.12777331,   185.00001026,
  165,    48.80390498,635440.96887328,   210.11924619,   185.00001024,
  166,    37.76695249,634930.79637992,   210.10959115,   185.00001022,
  167,    32.24847624,634390.82411482,   210.09937214,   185.00001020,
  168,   102.25423812,633966.92896382,   210.09134990,   185.00001018,
  169,   137.25711906,634065.04937007,   210.09320684,     0.00001019,
  170,   135.94855953,634556.81955482,   210.10251362,     0.00001021,
  171,    67.97427977,634923.88062884,   210.10946027,     0.00001022,
  172,    33.98713988,635107.41114761,   210.11293359,     0.00001023,
  173,    16.99356994,634785.17638833,   210.10683528,   230.00001021,
  174,     8.49678497,634003.05899045,   210.09203367,   230.00001018,
  175,    39.88839249,633262.15227324,   210.07801197,   230.00001016,
  176,    55.58419624,632606.00289656,   210.06559430,   230.00001013,
  177,    63.43209812,631992.23219015,   210.05397866,   230.00001011,
  178,    67.35604906,631399.65081865,   210.04276402,   230.00001009,
  179,    69.31802453,630817.66411482,   210.03174989,   230.00001006,
  180,    70.29901227,630240.97474496,   210.02083601,   230.00001004,
  181,    35.14950613,629602.78204181,   210.00875818,   230.00001002,
  182,    17.57475307,628869.68567221,   209.99345898,   230.00000999,
  183,   117.19237653,628401.26646955,   209.98212424,   165.00000998,
  184,   162.05118827,628309.90485022,   209.97991349,   165.00000998,
  185,   230.02059413,628421.63402240,   209.98261709,   165.00000998,
  186,   264.00529707,628716.88059070,   209.98976142,   165.00000999,
  187,   208.23264853,628972.90885665,   209.99595675,   165.00001000,
  188,   253.11132427,629209.32797186,   210.00131204,   165.00001000,
  189,   275.55066213,629566.91951124,   210.00807948,   165.00001002,
  190,   286.77033107,629985.09726293,   210.01599351,   165.00001003,
  191,   219.61516553,630599.59112079,   210.02762284,     0.00001006,
  192,   181.58258277,631321.74703147,   210.04128969,     0.00001008,
  193,   158.11129138,631933.19596860,   210.05286139,     0.00001011,
  194,   146.37564569,632481.27241881,   210.06323377,     0.00001013,
  195,    73.18782285,632876.48662555,   210.07071322,     0.00001014,
  196,    36.59391142,633074.09371069,   210.07445295,     0.00001015,
  197,    18.29695571,633172.89723480,   210.07632281,     0.00001015,
  198,     9.14847786,632869.49897883,   210.07058098,   196.00001014,
  199,     4.57423893,632188.59983261,   210.05769492,   196.00001012,
  200,    21.09711946,631529.20824115,   210.04521590,   196.00001009,
  201,    29.35855973,630914.42842731,   210.03358116,   196.00001007,
  202,    14.67927987,630288.09650221,   210.02172779,   196.00001004,
  203,     7.33963993,629974.93052163,   210.01580111,     0.00001003,
  204,     3.66981997,629641.94751353,   210.00949939,   196.00001002,
  205,    23.61490998,629338.25999141,   210.00375208,     0.00001001,
  206,    11.80745499,629402.02021227,   210.00495875,     0.00001001,
  207,     5.90372750,629081.10030489,   209.99857475,   196.00001000,
  208,   167.29186375,628687.25233302,   209.98904448,   196.00000999,
  209,   247.98593187,628729.15232897,   209.99005837,   196.00000999,
  210,   433.86296594,629250.88030920,   210.00209842,   196.00001000,
  211,   235.74148297,629750.56828120,   210.01155504,   196.00001002,
  212,   209.44574148,629846.30524905,   210.01336687,   196.00001003,
  213,   269.06287074,630002.02071488,   210.01631379,   196.00001003,
  214,   444.40143537,630580.65642984,   210.02726450,   196.00001005,
  215,   313.77571769,631592.57526896,   210.04641513,     0.00001009,
  216,   224.20785884,632560.94567025,   210.06474159,     0.00001013,
  217,   112.10392942,633166.30685275,   210.07619809,     0.00001015,
  218,    56.05196471,633468.98742555,   210.08192633,     0.00001016,
  219,    28.02598236,633620.32769349,   210.08479046,     0.00001017,
  220,    14.01299118,633695.99780944,   210.08622252,     0.00001017,
  221,     7.00649559,633733.83284896,   210.08693855,     0.00001017,
  222,     3.50324779,633752.75035026,   210.08729656,     0.00001017,
  223,     1.75162390,633409.40908268,   210.08079881,   196.00001016,
  224,     0.87581195,632708.53843062,   210.06753479,   196.00001014,
  225,     0.43790597,632005.30308625,   210.05422602,   196.00001011,
  226,     0.21895299,631266.68539583,   210.04024764,   215.00001008,
  227,     0.10947649,630880.27653281,   210.03293483,     0.00001007,
  228,     0.05473825,630527.77208306,   210.02626367,   196.00001005,
  229,     0.02736912,630175.11984017,   210.01958970,     0.00001004,
  230,     0.01368456,630175.19370048,   210.01959110,     0.00001004,
  231,     0.00684228,630175.23061282,   210.01959180,     0.00001004,
  232,     0.00342114,630175.24905097,   210.01959215,     0.00001004,
  233,     0.00171057,630175.25825202,   210.01959232,     0.00001004,
  234,   152.95585529,630148.18183438,   210.01907990,   168.00001004,
  235,   154.19292764,630096.24960768,   210.01809708,   168.00001004,
  236,   227.57646382,630178.63447613,   210.01965622,   168.00001004,
  237,   264.26823191,630459.15489210,   210.02496508,   168.00001005,
