TIME,INFLOW (m3/s),OUTFLOW (m3/s),
    0,    15.00000000,    15.00000000,
    1,    15.00000000,    15.00000000,
    2,    15.00000000,    15.00000000,
    3,    15.00000000,    15.00000000,
    4,    15.00000000,    15.00000000,
    5,    15.00000000,    15.00000000,
    6,     4.00000000,    15.00000000,
    7,     4.00000000,     9.50000000,
    8,    14.00000000,     6.75000000,
    9,    32.00000000,    10.37500000,
   10,    14.00000000,    21.18750000,
   11,     4.00000000,    17.59375000,
   12,     4.00000000,    10.79687500,
   13,     4.00000000,     7.39843750,
   14,     4.00000000,     5.69921875,
   15,     4.00000000,     4.84960938,
   16,     4.00000000,     4.42480469,
   17,     4.00000000,     4.21240234,
   18,   198.00000000,     4.10620117,
   19,   600.00000000,   101.05310059,
   20,   600.00000000,   350.52655029,
   21,   600.00000000,   475.26327515,
   22,    14.00000000,   537.63163757,
   23,     4.00000000,   275.81581879,
   24,     4.00000000,   139.90790939,
   25,     4.00000000,    71.95395470,
   26,     4.00000000,    37.97697735,
   27,     4.00000000,    20.98848867,
   28,     4.00000000,    12.49424434,
   29,     4.00000000,     8.24712217,
   30,     4.00000000,     6.12356108,
   31,    37.00000000,     5.06178054,
   32,    37.00000000,    21.03089027,
   33,    37.00000000,    29.01544514,
   34,     7.00000000,    33.00772257,
   35,     4.00000000,    20.00386128,
   36,    14.00000000,    12.00193064,
   37,    37.00000000,    13.00096532,
   38,     4.00000000,    25.00048266,
   39,   159.00000000,    14.50024133,
   40,   159.00000000,    86.75012067,
   41,   184.00000000,   122.87506033,
   42,   141.00000000,   153.43753017,
   43,   141.00000000,   147.21876508,
   44,    64.00000000,   144.10938254,
   45,    64.00000000,   104.05469127,
   46,    11.00000000,    84.02734564,
   47,     4.00000000,    47.51367282,
   48,     4.00000000,    25.75683641,
   49,     4.00000000,    14.87841820,
   50,     4.00000000,     9.43920910,
   51,     4.00000000,     6.71960455,
   52,     4.00000000,     5.35980228,
   53,     4.00000000,     4.67990114,
   54,     4.00000000,     4.33995057,
   55,    12.00000000,     4.16997528,
   56,     4.00000000,     8.08498764,
   57,     4.00000000,     6.04249382,
   58,     4.00000000,     5.02124691,
   59,   141.00000000,     4.51062346,
   60,   150.00000000,    72.75531173,
   61,    12.00000000,   111.37765586,
   62,    12.00000000,    61.68882793,
   63,    12.00000000,    36.84441397,
   64,     4.00000000,    24.42220698,
   65,    12.00000000,    14.21110349,
