TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,    15.00000000,632310.40000000,   210.06000000,     0.00000000,
    1,    15.00000000,632364.39998198,   210.06102195,     0.00001012,
    2,    15.00000000,632418.39994550,   210.06204391,     0.00001012,
    3,    15.00000000,632472.39990902,   210.06306586,     0.00001013,
    4,    15.00000000,632526.39987254,   210.06408781,     0.00001013,
    5,    15.00000000,632580.39983606,   210.06510976,     0.00001013,
    6,    15.00000000,632634.39979959,   210.06613171,     0.00001013,
    7,     9.50000000,632345.49976311,   210.06066427,   185.00001012,
    8,     6.75000000,631708.74972663,   210.04861373,   185.00001010,
    9,    10.37500000,631073.57469015,   210.03659301,   185.00001007,
   10,    21.18750000,630797.38715410,   210.03136615,     0.00001006,
   11,    17.59375000,630867.19336805,   210.03268723,     0.00001007,
   12,    10.79687500,630918.29645700,   210.03365436,     0.00001007,
   13,     7.39843750,630951.04798346,   210.03427419,     0.00001007,
   14,     5.69921875,630974.62372866,   210.03472036,     0.00001007,
   15,     4.84960938,630993.61158323,   210.03507970,     0.00001007,
   16,     4.42480469,631010.30549250,   210.03539564,     0.00001007,
   17,     4.21240234,631025.85242910,   210.03568986,     0.00001007,
   18,     4.10620117,631040.82587938,   210.03597324,     0.00001007,
   19,   101.05310059,630933.11258650,   210.03393476,   165.00001007,
   20,   350.52655029,631151.95592203,   210.03807638,   165.00001008,
   21,   475.26327515,632044.37757134,   210.05496551,   165.00001011,
   22,   537.63163757,633273.58837776,   210.07822839,   165.00001016,
   23,   275.81581879,634440.79376273,   210.10031782,     0.00001020,
   24,   139.90790939,635189.09643655,   210.11447949,     0.00001023,
   25,    71.95395470,635570.44775500,   210.12169659,     0.00001024,
   26,    37.97697735,635768.32339578,   210.12544140,     0.00001025,
   27,    20.98848867,635874.46119771,   210.12745006,     0.00001025,
   28,    12.49424434,635934.73008022,   210.12859065,     0.00001026,
   29,     8.24712217,635972.06450281,   210.12929721,     0.00001026,
   30,     6.12356108,635997.93169565,   210.12978675,     0.00001026,
   31,     5.06178054,635676.06527362,   210.12369541,   190.00001025,
   32,    21.03089027,635039.03204436,   210.11163952,   190.00001022,
   33,    29.01544514,634445.11541128,   210.10039961,   190.00001020,
   34,    33.00772257,633872.75707650,   210.08956770,   190.00001018,
   35,    20.00386128,633284.17789087,   210.07842880,   190.00001016,
   36,    12.00193064,632657.78827982,   210.06657434,   190.00001013,
   37,    13.00096532,632018.79345627,   210.05448133,   190.00001011,
   38,    25.00048266,631448.19602635,   210.04368274,   165.00001009,
   39,    14.50024133,630925.29729321,   210.03378685,   165.00001007,
   40,    86.75012067,630513.54790861,   210.02599447,   165.00001005,
   41,   122.87506033,630251.87319829,   210.02104226,   190.00001004,
   42,   153.43753017,630407.23582489,   210.02398251,     0.00001005,
   43,   147.21876508,630948.41711996,   210.03422440,     0.00001007,
   44,   144.10938254,631472.80774925,   210.04414852,     0.00001009,
   45,   104.05469127,631919.50304587,   210.05260225,     0.00001011,
   46,    84.02734564,632258.05067594,   210.05900929,     0.00001012,
   47,    47.51367282,632494.82447274,   210.06349024,     0.00001013,
   48,    25.75683641,632626.71135290,   210.06598621,     0.00001013,
   49,    14.87841820,632699.85477474,   210.06737045,     0.00001013,
   50,     9.43920910,632743.62646721,   210.06819884,     0.00001014,
   51,     6.71960455,632772.71229542,   210.06874929,     0.00001014,
   52,     5.35980228,632794.45519107,   210.06916077,     0.00001014,
   53,     4.67990114,632812.52662065,   210.06950277,     0.00001014,
   54,     4.33995057,632828.76231721,   210.06981004,     0.00001014,
   55,     4.16997528,632547.08014725,   210.06447919,   165.00001013,
   56,     8.08498764,632272.13904403,   210.05927591,     0.00001012,
   57,     6.04249382,632297.56847418,   210.05975716,     0.00001012,
   58,     5.02124691,632317.48317101,   210.06013405,     0.00001012,
   59,     4.51062346,632334.64050119,   210.06045875,     0.00001012,
   60,    72.75531173,632176.71914804,   210.05747008,   165.00001011,
   61,   111.37765586,631914.15845344,   210.05250111,   165.00001011,
   62,    61.68882793,631631.67808796,   210.04715515,   165.00001009,
   63,    36.84441397,631215.03788706,   210.03927021,   165.00001008,
   64,    24.42220698,631028.31776858,   210.03573652,     0.00001007,
   65,    14.21110349,630800.85769111,   210.03143183,   165.00001006,
   66,    13.10555175,630553.02763434,   210.02674163,     0.00001005,
   67,     8.55277587,630592.01258794,   210.02747942,     0.00001005,
   68,    69.77638794,630733.00504671,   210.03014771,     0.00001006,
   69,   105.38819397,630751.30125786,   210.03049397,   165.00001006,
   70,   205.69409698,630717.24934541,   210.02984953,   165.00001006,
   71,   255.84704849,631251.02337094,   210.03995124,     0.00001008,
   72,   198.42352425,632068.71036569,   210.05542601,     0.00001011,
   73,   169.71176212,632731.35384461,   210.06796658,     0.00001014,
   74,   155.35588106,633316.47556583,   210.07904004,     0.00001016,
   75,    79.67794053,633739.53640820,   210.08704649,     0.00001017,
   76,    41.83897027,633958.26681114,   210.09118597,     0.00001018,
   77,    22.91948513,634074.83199416,   210.09339198,     0.00001019,
   78,    13.45974257,634140.31456743,   210.09463124,     0.00001019,
   79,     8.72987128,633847.25583583,   210.08908508,   185.00001018,
   80,    63.86493564,633311.92645179,   210.07895394,   185.00001016,
   81,    38.43246782,632830.06174131,   210.06983463,   185.00001014,
   82,    25.71623391,632279.52936784,   210.05941577,   185.00001012,
   83,    28.85811696,632044.76316286,   210.05497281,     0.00001011,
   84,    47.92905848,632182.98004213,   210.05758857,     0.00001012,
   85,    57.96452924,632040.58846375,   210.05489380,   185.00001011,
   86,    44.98226462,631559.89265630,   210.04579661,   185.00001009,
   87,    38.49113231,631044.14473445,   210.03603605,   185.00001007,
   88,   255.74556615,630907.77075550,   210.03345516,   185.00001007,
