TIME,INFLOW (m3/s),OUTFLOW (m3/s),
    0,     1.00000000,     1.00000000,
    1,     1.00000000,     1.00000000,
    2,     1.00000000,     1.00000000,
    3,     1.00000000,     1.00000000,
    4,     1.00000000,     1.00000000,
    5,     1.00000000,     1.00000000,
    6,     1.00000000,     1.00000000,
    7,     1.00000000,     1.00000000,
    8,     1.00000000,     1.00000000,
    9,   158.40000000,     1.00000000,
   10,   158.40000000,    79.70000000,
   11,   158.40000000,   119.05000000,
   12,   303.93000000,   138.72500000,
   13,   303.93000000,   221.32750000,
   14,   158.40000000,   262.62875000,
   15,   158.40000000,   210.51437500,
   16,   158.40000000,   184.45718750,
   17,   303.93000000,   171.42859375,
   18,   303.93000000,   237.67929688,
   19,   158.40000000,   270.80464844,
   20,   303.93000000,   214.60232422,
   21,   303.93000000,   259.26616211,
   22,   158.40000000,   281.59808105,
   23,   140.58000000,   219.99904053,
   24,     0.00000000,   180.28952026,
   25,     0.00000000,    90.14476013,
   26,     0.00000000,    45.07238007,
   27,     0.00000000,    22.53619003,
   28,     0.00000000,    11.26809502,
   29,     0.00000000,     5.63404751,
   30,   110.88000000,     2.81702375,
   31,     1.00000000,    56.84851188,
   32,     1.00000000,    28.92425594,
   33,     1.00000000,    14.96212797,
   34,   188.10000000,     7.98106398,
   35,   188.10000000,    98.04053199,
   36,   333.63000000,   143.07026600,
   37,    42.57000000,   238.35013300,
   38,    42.57000000,   140.46006650,
   39,    42.57000000,    91.51503325,
   40,    42.57000000,    67.04251662,
   41,   140.58000000,    54.80625831,
   42,   286.11000000,    97.69312916,
   43,    12.87000000,   191.90156458,
   44,    12.87000000,   102.38578229,
   45,    12.87000000,    57.62789114,
   46,    12.87000000,    35.24894557,
   47,   188.10000000,    24.05947279,
   48,   140.58000000,   106.07973639,
   49,   140.58000000,   123.32986820,
   50,     1.00000000,   131.95493410,
   51,     1.00000000,    66.47746705,
   52,     1.00000000,    33.73873352,
   53,     1.00000000,    17.36936676,
   54,     1.00000000,     9.18468338,
   55,     1.00000000,     5.09234169,
   56,    12.87000000,     3.04617085,
   57,   140.58000000,     7.95808542,
   58,   158.40000000,    74.26904271,
   59,   303.93000000,   116.33452136,
