TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,   144.35550000,639179.60000000,   210.19000000,     0.00000000,
    1,   144.35550000,639699.27978148,   210.19983497,     0.00001040,
    2,   217.78200000,640351.12724406,   210.21217122,     0.00001042,
    3,   254.49525000,641201.22625639,   210.22825939,     0.00001046,
    4,   272.85187500,642150.45104372,   210.24622352,     0.00001049,
    5,   282.03018750,643149.23871834,   210.26512564,     0.00001053,
    6,   213.19284375,643743.64013658,   210.27637472,   165.00001055,
    7,   187.76517188,643871.36452661,   210.27879191,   165.00001056,
    8,    94.38258594,643668.23045283,   210.27494759,   230.00001055,
    9,    47.69129297,643095.96339684,   210.26411740,   230.00001053,
   10,    24.34564648,642397.62984997,   210.25090140,   230.00001050,
   11,    52.38257324,641707.74060775,   210.23784520,   230.00001048,
   12,    66.40103662,641210.55106774,   210.22843586,   165.00001046,
   13,   114.36926831,640941.93757883,   210.22335234,   165.00001045,
   14,   138.35338416,639929.83831586,   210.20419830,   650.00001041,
   15,   245.74994208,638281.22426561,   210.17299819,   650.00001035,
   16,   299.44822104,637147.58092216,   210.15154392,   525.00001030,
   17,   263.85986052,636865.53543175,   210.14620620,   195.00001029,
   18,   228.08368026,637049.03376824,   210.14967891,   195.00001030,
   19,   136.76909013,637003.76871792,   210.14882227,   195.00001030,
   20,    91.11179506,636657.95427424,   210.14227771,   225.00001028,
   21,   156.69464753,636294.00583383,   210.13538997,   225.00001027,
   22,   262.91257377,636239.29879538,   210.13435463,   225.00001027,
   23,   316.02153688,636876.38015763,   210.14641143,     0.00001029,
   24,   230.18851844,637859.55822005,   210.16501813,     0.00001033,
   25,   260.69850922,638743.15483265,   210.18174025,     0.00001036,
   26,   275.95350461,639709.12842011,   210.20002136,     0.00001040,
   27,   138.47675231,640455.10284510,   210.21413896,     0.00001043,
   28,    69.73837615,640829.89003892,   210.22123183,     0.00001044,
   29,    35.36918808,641019.08361673,   210.22481233,     0.00001045,
   30,    18.18459404,641115.48038697,   210.22663665,     0.00001045,
   31,     9.59229702,640868.47875342,   210.22196213,   165.00001044,
   32,   159.39139851,640065.64936793,   210.20676853,   450.00001041,
   33,   229.79544925,638751.98565643,   210.18190737,   669.00001036,
   34,   227.53497463,637425.98038199,   210.15681265,   525.00001031,
   35,   154.47673731,636358.60142639,   210.13661244,   450.00001027,
   36,    80.48511866,635557.53273008,   210.12145217,   230.00001024,
   37,    80.45230933,634488.22006357,   210.10121537,   525.00001020,
   38,    80.93540466,633185.71791213,   210.07656544,   360.00001015,
   39,   145.61245233,632297.50401833,   210.05975594,   360.00001012,
   40,   104.52447617,631451.75045326,   210.04375001,   360.00001009,
   41,    83.98048808,630801.05935262,   210.03143564,   190.00001006,
   42,   135.64649404,630854.38788412,   210.03244489,     0.00001006,
   43,   213.42749702,631482.72103189,   210.04433613,     0.00001009,
   44,   252.31799851,632321.06288741,   210.06020180,     0.00001012,
   45,   271.76324926,632967.40909699,   210.07243393,   165.00001014,
   46,   290.47687463,633385.44128325,   210.08034522,   165.00001016,
   47,   299.83368731,633854.00025819,   210.08921272,   165.00001018,
   48,   304.51209366,634644.82262724,   210.10417908,     0.00001021,
   49,   224.43379683,635596.92519342,   210.12219768,     0.00001024,
   50,   184.39464841,636332.81635786,   210.13612446,     0.00001027,
   51,   164.37507421,636960.60182139,   210.14800533,     0.00001030,
   52,    82.68753710,637405.31448448,   210.15642155,     0.00001031,
   53,    41.84376855,637629.47079756,   210.16066372,     0.00001032,
   54,    21.42188428,637743.34893544,   210.16281887,     0.00001033,
   55,    11.21094214,637802.08798592,   210.16393051,     0.00001033,
   56,     6.10547107,637419.25749271,   210.15668542,   230.00001031,
   57,    43.26248553,636680.11977732,   210.14269719,   230.00001029,
   58,    61.84099277,636041.30600116,   210.13060761,   230.00001026,
   59,   144.55674638,635656.82189476,   210.12333122,   190.00001025,
   60,   165.93462319,635459.70632293,   210.11960080,   230.00001024,
   61,   196.60356160,634924.27501881,   210.10946773,   430.00001022,
   62,   238.41153080,633799.30214828,   210.08817756,   630.00001018,
   63,   212.36251540,632342.69539493,   210.06061119,   630.00001012,
   64,   199.33800770,631222.55630010,   210.03941250,   404.00001008,
   65,   153.36525385,630833.22213453,   210.03204433,   165.00001006,
   66,   157.85137692,631096.41203373,   210.03702521,     0.00001007,
   67,   224.52993846,631487.69836510,   210.04443032,   165.00001009,
   68,   340.28671923,631910.36831263,   210.05242938,   165.00001010,
   69,   398.16510962,632645.58156827,   210.06634333,   165.00001013,
   70,   280.25130481,633272.73107789,   210.07821217,   165.00001016,
   71,   221.29440240,633581.51331442,   210.08405589,   165.00001017,
   72,   265.24245120,634160.27961434,   210.09500908,     0.00001019,
   73,   278.22547560,635138.52184599,   210.11352237,     0.00001023,
   74,   211.29048780,636019.65054326,   210.13019778,     0.00001026,
   75,   106.14524390,636591.03482332,   210.14101126,     0.00001028,
   76,    53.57262195,636878.52694469,   210.14645206,     0.00001029,
   77,    27.28631098,637024.07298670,   210.14920653,     0.00001030,
   78,    14.14315549,637098.64598947,   210.15061783,     0.00001030,
   79,     7.57157774,637137.73247218,   210.15135754,     0.00001030,
   80,     4.28578887,637159.07569509,   210.15176146,     0.00001030,
   81,     2.64289444,636757.54728809,   210.14416251,   230.00001029,
   82,     1.82144722,635937.58306613,   210.12864465,   230.00001026,
   83,    41.12047361,635186.87848659,   210.11443752,   230.00001023,
   84,    21.06023680,634470.80372868,   210.10088576,   230.00001020,
   85,    11.03011840,633700.56633148,   210.08630898,   230.00001017,
   86,     6.01505920,632903.24761443,   210.07121967,   230.00001014,
   87,     3.50752960,632164.38823767,   210.05723672,   190.00001011,
   88,    21.98351480,631526.27208133,   210.04516033,   190.00001009,
   89,   178.07450740,631202.37648492,   210.03903059,   190.00001008,
   90,   182.69350370,631509.75886841,   210.04484782,     0.00001009,
   91,   310.37750185,632397.28664198,   210.06164433,     0.00001012,
   92,   227.36650093,632951.22581058,   210.07212766,   230.00001014,
   93,   114.18325046,632738.01532641,   210.06809264,   230.00001014,
   94,    57.59162523,632219.21006608,   210.05827423,   230.00001012,
   95,   142.43206262,631751.25266772,   210.04941810,   230.00001010,
   96,   184.85228131,631926.36445036,   210.05273211,     0.00001011,
   97,   164.60389065,632555.38552346,   210.06463636,     0.00001013,
   98,   154.47969533,633129.73594175,   210.07550598,     0.00001015,
   99,   149.41759766,633676.75103240,   210.08585827,     0.00001017,
  100,    75.20879883,634081.07850948,   210.09351019,     0.00001019,
  101,    38.10439942,634285.04222956,   210.09737022,     0.00001019,
  102,    19.55219971,634388.82407136,   210.09933429,     0.00001020,
  103,    10.27609985,634442.51497402,   210.10035040,     0.00001020,
  104,     5.63804993,634057.16040712,   210.09305754,   230.00001019,
  105,     3.31902496,633245.28310542,   210.07769272,   230.00001016,
  106,     2.15951248,632427.14443612,   210.06220940,   230.00001012,
  107,    41.28950624,631677.35263334,   210.04801954,   230.00001010,
  108,   134.28100312,631165.37951384,   210.03833042,   230.00001008,
  109,   254.20325156,631036.65113607,   210.03589423,   230.00001007,
  110,   240.73787578,631099.54512916,   210.03708450,   230.00001007,
  111,   234.00518789,631126.08260732,   210.03758673,   230.00001008,
  112,   230.63884395,631134.44182844,   210.03774492,   230.00001008,
  113,   208.97567197,631511.74792080,   210.04488546,     0.00001009,
  114,   176.66558599,632205.90214873,   210.05802237,     0.00001012,
  115,   233.93704299,632647.98684435,   210.06638885,   165.00001013,
  116,   198.13727150,632831.72057414,   210.06986602,   165.00001014,
  117,   180.23738575,632918.79492054,   210.07151391,   165.00001014,
  118,   171.28744287,632957.53957567,   210.07224715,   165.00001014,
  119,   166.81247144,632972.11938496,   210.07252308,   165.00001015,
  120,   238.00148572,633403.78447147,   210.08069236,     0.00001016,
  121,   218.65099286,634225.75889621,   210.09624828,     0.00001019,
  122,   181.50324643,634946.03649025,   210.10987957,     0.00001022,
  123,    91.25162321,635436.99521880,   210.11917099,     0.00001024,
  124,    46.12581161,635684.27456441,   210.12385077,     0.00001025,
  125,    23.56290580,635809.71421876,   210.12622472,     0.00001025,
  126,    12.28145290,635874.23402748,   210.12744576,     0.00001025,
  127,     6.64072645,635908.29391360,   210.12809035,     0.00001026,
  128,     3.82036323,635630.12383800,   210.12282596,   165.00001025,
  129,     9.65243161,635060.37483168,   210.11204343,   165.00001022,
  130,    12.56846581,634506.37241016,   210.10155890,   165.00001020,
  131,    14.02648290,633960.24328103,   210.09122338,   165.00001018,
  132,    14.75549145,633418.05079832,   210.08096235,   165.00001016,
  133,    88.54649573,633009.99433875,   210.07323986,   165.00001015,
  134,   125.44199786,632504.17359089,   210.06366718,   330.00001013,
  135,   152.88074893,631817.15449857,   210.05066530,   330.00001010,
  136,   240.02662447,631633.38773426,   210.04718750,   165.00001009,
