TIME,INFLOW(m3/s),STORAGE(1000m3),ELEVATION(m),OUTFLOW(m3/s),
    0,    21.00000000,632310.40000000,   210.06000000,     0.00000000,
    1,    21.00000000,632385.99998198,   210.06143073,     0.00001012,
    2,    21.00000000,632461.59994550,   210.06286147,     0.00001013,
    3,    21.00000000,632537.19990902,   210.06429220,     0.00001013,
    4,    21.00000000,632612.79987254,   210.06572293,     0.00001013,
    5,    21.00000000,632688.39983606,   210.06715367,     0.00001013,
    6,    21.00000000,632763.99979959,   210.06858440,     0.00001014,
    7,    15.50000000,632496.69976311,   210.06352573,   185.00001013,
    8,    12.75000000,631881.54972663,   210.05188398,   185.00001010,
    9,    16.37500000,631267.97469015,   210.04027204,   185.00001008,
   10,    27.18750000,631013.38715367,   210.03545396,     0.00001007,
   11,    23.59375000,631104.79336762,   210.03718383,     0.00001007,
   12,    16.79687500,631177.49645615,   210.03855974,     0.00001008,
   13,    13.39843750,631231.84798217,   210.03958834,     0.00001008,
   14,    11.69921875,631277.02372694,   210.04044330,     0.00001008,
   15,    10.84960938,631317.61158109,   210.04121142,     0.00001008,
   16,    10.42480469,631355.90548992,   210.04193614,     0.00001008,
   17,    10.21240234,631393.05242610,   210.04263915,     0.00001009,
   18,    10.10620117,631429.62587595,   210.04333130,     0.00001009,
   19,   107.05310059,631343.51258264,   210.04170160,   165.00001008,
   20,   356.52655029,631583.95591774,   210.04625200,   165.00001009,
   21,   481.26327515,632497.97756705,   210.06354992,   165.00001013,
   22,   543.63163757,633748.78837347,   210.08722158,   165.00001017,
   23,   281.81581879,634937.59375835,   210.10971979,     0.00001022,
   24,   145.90790939,635707.49643217,   210.12429024,     0.00001025,
   25,    77.95395470,636110.44775062,   210.13191612,     0.00001026,
   26,    43.97697735,636329.92339140,   210.13606971,     0.00001027,
   27,    26.98848867,636457.66119333,   210.13848715,     0.00001028,
   28,    18.49424434,636539.53007584,   210.14003653,     0.00001028,
   29,    14.24712217,636598.46449843,   210.14115186,     0.00001028,
   30,    12.12356108,636645.93169127,   210.14205018,     0.00001028,
   31,    11.06178054,636345.66526924,   210.13636762,   190.00001027,
   32,    27.03089027,635730.23203956,   210.12472052,   190.00001025,
   33,    35.01544514,635157.91540647,   210.11388939,   190.00001023,
   34,    39.00772257,634607.15707169,   210.10346626,   190.00001021,
   35,    26.00386128,634040.17788607,   210.09273614,   190.00001019,
   36,    18.00193064,633435.38827501,   210.08129047,   190.00001016,
   37,    19.00096532,632817.99345103,   210.06960623,   190.00001014,
   38,    31.00048266,632268.99602080,   210.05921643,   165.00001012,
   39,    20.50024133,631767.69728766,   210.04972932,   165.00001010,
   40,    92.75012067,631377.54790307,   210.04234572,   165.00001008,
   41,   128.87506033,631137.47319275,   210.03780229,   190.00001008,
   42,   159.43753017,631314.43581935,   210.04115132,     0.00001008,
   43,   153.21876508,631877.21711441,   210.05180199,     0.00001010,
   44,   150.10938254,632423.20774370,   210.06213489,     0.00001012,
   45,   110.05469127,632891.50304000,   210.07099741,     0.00001014,
   46,    90.02734564,633251.65067007,   210.07781322,     0.00001016,
   47,    53.51367282,633510.02446687,   210.08270296,     0.00001017,
   48,    31.75683641,633663.51134703,   210.08560771,     0.00001017,
   49,    20.87841820,633758.25476887,   210.08740073,     0.00001017,
   50,    15.43920910,633823.62646134,   210.08863790,     0.00001018,
   51,    12.71960455,633874.31228912,   210.08959713,     0.00001018,
   52,    11.35980228,633917.65518477,   210.09041740,     0.00001018,
   53,    10.67990114,633957.32661435,   210.09116818,     0.00001018,
   54,    10.33995057,633995.16231091,   210.09188422,     0.00001018,
   55,    10.16997528,633735.08014095,   210.08696215,   165.00001017,
   56,    14.08498764,633481.73903773,   210.08216766,     0.00001016,
   57,    12.04249382,633528.76846788,   210.08305769,     0.00001017,
   58,    11.02124691,633570.28316471,   210.08384336,     0.00001017,
   59,    10.51062346,633609.04049489,   210.08457685,     0.00001017,
   60,    78.75531173,633472.71914174,   210.08199696,   165.00001016,
   61,   117.37765586,633231.75844671,   210.07743676,   165.00001015,
   62,    67.68882793,632970.87808096,   210.07249959,   165.00001015,
   63,    42.84441397,632575.83788006,   210.06502343,   165.00001013,
   64,    30.42220698,632410.71776116,   210.06189852,     0.00001012,
   65,    20.21110349,632204.85768368,   210.05800261,   165.00001012,
   66,    19.10555175,631978.62762655,   210.05372119,     0.00001011,
   67,    14.55277587,632039.21257971,   210.05486776,     0.00001011,
   68,    75.77638794,632201.80503806,   210.05794483,     0.00001012,
   69,   111.38819397,632241.70124920,   210.05869987,   165.00001012,
   70,   211.69409698,632229.24933632,   210.05846422,   165.00001012,
   71,   261.84704849,632784.62336186,   210.06897470,     0.00001014,
   72,   204.42352425,633623.91035617,   210.08485826,     0.00001017,
   73,   175.71176212,634308.15383509,   210.09780760,     0.00001020,
   74,   161.35588106,634914.87555612,   210.10928985,     0.00001022,
   75,    85.67794053,635359.53639806,   210.11770508,     0.00001024,
   76,    47.83897027,635599.86680057,   210.12225335,     0.00001024,
   77,    28.91948513,635738.03198359,   210.12486813,     0.00001025,
   78,    19.45974257,635825.11455644,   210.12651617,     0.00001025,
   79,    14.72987128,635553.65582440,   210.12137880,   185.00001024,
   80,    69.86493564,635039.92643993,   210.11165644,   185.00001022,
   81,    44.43246782,634579.66172946,   210.10294591,   185.00001021,
   82,    31.71623391,634050.72935598,   210.09293583,   185.00001019,
   83,    34.85811696,633837.56315101,   210.08890165,     0.00001018,
   84,    53.92905848,633997.38003028,   210.09192619,     0.00001018,
   85,    63.96452924,633876.58845146,   210.08964021,   185.00001018,
   86,    50.98226462,633417.49264381,   210.08095179,   185.00001016,
   87,    44.49113231,632923.34472154,   210.07160001,   185.00001014,
   88,   261.74556615,632808.57074216,   210.06942791,   185.00001014,
   89,   370.37278308,633280.38373445,   210.07835700,   185.00001016,
   90,   498.18639154,634177.79021213,   210.09534047,   185.00001019,
   91,   488.59319577,635287.99343274,   210.11635112,   185.00001023,
   92,   557.29659788,636504.59502438,   210.13937538,   185.00001028,
   93,   518.14829894,637774.39580152,   210.16340643,   185.00001033,
   94,   498.57414947,638938.49617155,   210.18543710,   185.00001037,
   95,   488.78707474,640049.74633773,   210.20646757,   185.00001041,
   96,   410.39353737,641002.27140215,   210.22449416,   185.00001045,
   97,   371.19676868,642076.13391526,   210.24481707,     0.00001049,
   98,   332.59838434,643342.96515277,   210.26879192,     0.00001054,
   99,   239.79919217,644373.28075240,   210.28829070,     0.00001058,
  100,   193.39959609,645153.03853334,   210.30304766,     0.00001061,
  101,   133.69979804,645741.81740449,   210.31419034,     0.00001063,
  102,   103.34989902,645871.50682076,   210.31664472,   165.00001063,
  103,    60.67494951,645572.75150979,   210.31099076,   165.00001062,
  104,    39.33747476,645122.77383521,   210.30247490,   185.00001060,
  105,    24.66873738,644571.98497904,   210.29205119,   185.00001058,
  106,    31.33436869,644006.79053186,   210.28135485,   185.00001056,
  107,   181.66718434,643724.19328917,   210.27600669,   185.00001055,
  108,   183.33359217,643715.19464873,   210.27583639,   185.00001055,
  109,   257.66679609,643842.99530962,   210.27825502,   185.00001056,
  110,   147.83339804,643906.89562119,   210.27946434,   185.00001056,
  111,    92.91669902,643674.24575809,   210.27506143,   185.00001055,
  112,    56.45834951,643277.12080744,   210.26754581,   185.00001054,
  113,    37.22917476,642779.75831302,   210.25813320,   185.00001052,
  114,    27.61458738,642230.47704714,   210.24773802,   185.00001050,
  115,   106.30729369,641805.53639510,   210.23969600,   185.00001048,
  116,   145.65364684,641593.06605042,   210.23567498,   185.00001047,
  117,   238.82682342,641619.13085941,   210.23616826,   185.00001047,
  118,   285.41341171,641896.76324480,   210.24142247,   185.00001048,
  119,   308.70670586,642633.17941883,   210.25535919,     0.00001051,
  120,   320.35335293,643765.48748683,   210.27678818,     0.00001055,
  121,   165.17667646,644639.44150180,   210.29332781,     0.00001059,
  122,    87.58833823,645094.41848997,   210.30193828,     0.00001060,
  123,    48.79416912,645339.90696496,   210.30658416,     0.00001061,
  124,    29.39708456,645480.65118336,   210.30924775,     0.00001062,
  125,    19.69854228,645569.02327346,   210.31092020,     0.00001062,
  126,    14.84927114,645298.20929942,   210.30579503,   185.00001061,
  127,    26.42463557,644706.50229329,   210.29459694,   185.00001059,
  128,    18.21231778,644120.84877114,   210.28351341,   185.00001057,
