TIME,INFLOW (m3/s),OUTFLOW (m3/s),
    0,     3.00000000,     3.00000000,
    1,     3.00000000,     3.00000000,
    2,     3.00000000,     3.00000000,
    3,     3.00000000,     3.00000000,
    4,     3.00000000,     3.00000000,
    5,     3.00000000,     3.00000000,
    6,     3.00000000,     3.00000000,
    7,     3.00000000,     3.00000000,
    8,     3.00000000,     3.00000000,
    9,   165.00000000,     3.00000000,
   10,   165.00000000,    84.00000000,
   11,   165.00000000,   124.50000000,
   12,   312.00000000,   144.75000000,
   13,   312.00000000,   228.37500000,
   14,   165.00000000,   270.18750000,
   15,   165.00000000,   217.59375000,
   16,   165.00000000,   191.29687500,
   17,   312.00000000,   178.14843750,
   18,   312.00000000,   245.07421875,
   19,   165.00000000,   278.53710938,
   20,   312.00000000,   221.76855469,
   21,   312.00000000,   266.88427734,
   22,   165.00000000,   289.44213867,
   23,   147.00000000,   227.22106934,
   24,     5.00000000,   187.11053467,
   25,     5.00000000,    96.05526733,
   26,     5.00000000,    50.52763367,
   27,     5.00000000,    27.76381683,
   28,     5.00000000,    16.38190842,
   29,     5.00000000,    10.69095421,
   30,   117.00000000,     7.84547710,
   31,     0.00000000,    62.42273855,
   32,     0.00000000,    31.21136928,
   33,     0.00000000,    15.60568464,
   34,   195.00000000,     7.80284232,
   35,   195.00000000,   101.40142116,
   36,   342.00000000,   148.20071058,
   37,    48.00000000,   245.10035529,
   38,    48.00000000,   146.55017764,
   39,    48.00000000,    97.27508882,
   40,    48.00000000,    72.63754441,
   41,   147.00000000,    60.31877221,
   42,   294.00000000,   103.65938610,
   43,    18.00000000,   198.82969305,
   44,    18.00000000,   108.41484653,
   45,    18.00000000,    63.20742326,
   46,    18.00000000,    40.60371163,
   47,   195.00000000,    29.30185582,
   48,   147.00000000,   112.15092791,
   49,   147.00000000,   129.57546395,
   50,     0.00000000,   138.28773198,
   51,     0.00000000,    69.14386599,
   52,     0.00000000,    34.57193299,
   53,     0.00000000,    17.28596650,
   54,     0.00000000,     8.64298325,
   55,     0.00000000,     4.32149162,
   56,    18.00000000,     2.16074581,
   57,   147.00000000,    10.08037291,
   58,   165.00000000,    78.54018645,
   59,   312.00000000,   121.77009323,
   60,   195.00000000,   216.88504661,
   61,   195.00000000,   205.94252331,
   62,   195.00000000,   200.47126165,
   63,   195.00000000,   197.73563083,
   64,    48.00000000,   196.36781541,
   65,    48.00000000,   122.18390771,
   66,    75.00000000,    85.09195385,
   67,    72.00000000,    80.04597693,
   68,   100.00000000,    76.02298846,
   69,   194.00000000,    88.01149423,
   70,   147.00000000,   141.00574712,
   71,   441.00000000,   144.00287356,
   72,   294.00000000,   292.50143678,
   73,     0.00000000,   293.25071839,
   74,     0.00000000,   146.62535919,
   75,     0.00000000,    73.31267960,
   76,     0.00000000,    36.65633980,
   77,     0.00000000,    18.32816990,
   78,     0.00000000,     9.16408495,
   79,     0.00000000,     4.58204247,
   80,    48.00000000,     2.29102124,
   81,    48.00000000,    25.14551062,
   82,     0.00000000,    36.57275531,
   83,   195.00000000,    18.28637765,
   84,   195.00000000,   106.64318883,
   85,   195.00000000,   150.82159441,
   86,     0.00000000,   172.91079721,
   87,    48.00000000,    86.45539860,
   88,   195.00000000,    67.22769930,
   89,   195.00000000,   131.11384965,
   90,   195.00000000,   163.05692483,
   91,   195.00000000,   179.02846241,
   92,   195.00000000,   187.01423121,
   93,     0.00000000,   191.00711560,
   94,     0.00000000,    95.50355780,
   95,   147.00000000,    47.75177890,
   96,   147.00000000,    97.37588945,
   97,   294.00000000,   122.18794473,
   98,   294.00000000,   208.09397236,
   99,   294.00000000,   251.04698618,
  100,   147.00000000,   272.52349309,
  101,     0.00000000,   209.76174655,
  102,     0.00000000,   104.88087327,
  103,     0.00000000,    52.44043664,
  104,     0.00000000,    26.22021832,
  105,     0.00000000,    13.11010916,
  106,   165.00000000,     6.55505458,
  107,   312.00000000,    85.77752729,
  108,   165.00000000,   198.88876364,
  109,   165.00000000,   181.94438182,
  110,    18.00000000,   173.47219091,
  111,    18.00000000,    95.73609546,
  112,   165.00000000,    56.86804773,
  113,   165.00000000,   110.93402386,
  114,   312.00000000,   137.96701193,
  115,    18.00000000,   224.98350597,
  116,    18.00000000,   121.49175298,
  117,    18.00000000,    69.74587649,
  118,   147.00000000,    43.87293825,
  119,   147.00000000,    95.43646912,
  120,   147.00000000,   121.21823456,
  121,   147.00000000,   134.10911728,
  122,     0.00000000,   140.55455864,
  123,     0.00000000,    70.27727932,
  124,     0.00000000,    35.13863966,
  125,     0.00000000,    17.56931983,
  126,     0.00000000,     8.78465992,
  127,     0.00000000,     4.39232996,
  128,     0.00000000,     2.19616498,
  129,    18.00000000,     1.09808249,
  130,   165.00000000,     9.54904124,
  131,   165.00000000,    87.27452062,
  132,    18.00000000,   126.13726031,
  133,     0.00000000,    72.06863016,
  134,     0.00000000,    36.03431508,
  135,     0.00000000,    18.01715754,
  136,     0.00000000,     9.00857877,
  137,     0.00000000,     4.50428938,
  138,    90.00000000,     2.25214469,
  139,   165.00000000,    46.12607235,
  140,   312.00000000,   105.56303617,
  141,   165.00000000,   208.78151809,
  142,   165.00000000,   186.89075904,
  143,   312.00000000,   175.94537952,
  144,   312.00000000,   243.97268976,
  145,   165.00000000,   277.98634488,
  146,    18.00000000,   221.49317244,
  147,   165.00000000,   119.74658622,
  148,   165.00000000,   142.37329311,
  149,   165.00000000,   153.68664656,
  150,    18.00000000,   159.34332328,
  151,     0.00000000,    88.67166164,
  152,   165.00000000,    44.33583082,
  153,   165.00000000,   104.66791541,
  154,   165.00000000,   134.83395770,
  155,   165.00000000,   149.91697885,
  156,   165.00000000,   157.45848943,
  157,   165.00000000,   161.22924471,
  158,   165.00000000,   163.11462236,
  159,   165.00000000,   164.05731118,
  160,   165.00000000,   164.52865559,
  161,   165.00000000,   164.76432779,
  162,   147.00000000,   164.88216390,
  163,   147.00000000,   155.94108195,
  164,   147.00000000,   151.47054097,
  165,     0.00000000,   149.23527049,
  166,     0.00000000,    74.61763524,
  167,     0.00000000,    37.30881762,
  168,    18.00000000,    18.65440881,
  169,    18.00000000,    18.32720441,
  170,     0.00000000,    18.16360220,
  171,     0.00000000,     9.08180110,
  172,     0.00000000,     4.54090055,
  173,     0.00000000,     2.27045028,
  174,     0.00000000,     1.13522514,
  175,     0.00000000,     0.56761257,
  176,     0.00000000,     0.28380628,
  177,     0.00000000,     0.14190314,
  178,   165.00000000,     0.07095157,
  179,   165.00000000,    82.53547579,
  180,   165.00000000,   123.76773789,
  181,   165.00000000,   144.38386895,
  182,   165.00000000,   154.69193447,
  183,   165.00000000,   159.84596724,
  184,   165.00000000,   162.42298362,
  185,   165.00000000,   163.71149181,
  186,   165.00000000,   164.35574590,
  187,   165.00000000,   164.67787295,
  188,    18.00000000,   164.83893648,
  189,    18.00000000,    91.41946824,
  190,    18.00000000,    54.70973412,
  191,     0.00000000,    36.35486706,
  192,     0.00000000,    18.17743353,
  193,     0.00000000,     9.08871676,
  194,   147.00000000,     4.54435838,
  195,   294.00000000,    75.77217919,
  196,   147.00000000,   184.88608960,
  197,     0.00000000,   165.94304480,
  198,     0.00000000,    82.97152240,
  199,    18.00000000,    41.48576120,
  200,    18.00000000,    29.74288060,
  201,    18.00000000,    23.87144030,
  202,    18.00000000,    20.93572015,
  203,   165.00000000,    19.46786007,
  204,   294.00000000,    92.23393004,
  205,   294.00000000,   193.11696502,
  206,   165.00000000,   243.55848251,
  207,   195.00000000,   204.27924125,
  208,   312.00000000,   199.63962063,
  209,   312.00000000,   255.81981031,
  210,   165.00000000,   283.90990516,
  211,   312.00000000,   224.45495258,
  212,   165.00000000,   268.22747629,
  213,   165.00000000,   216.61373814,
  214,   312.00000000,   190.80686907,
  215,   312.00000000,   251.40343454,
  216,   147.00000000,   281.70171727,
  217,     0.00000000,   214.35085863,
  218,     0.00000000,   107.17542932,
